count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
21000,11,2,2,0,1
21001,20,1,3,0,1
21002,32,2,2,1,0
21003,43,6,4,1,0
21004,17,2,9,0,0
21005,19,8,2,1,0
21006,15,1,3,0,0
21007,22,4,6,0,0
21008,17,1,6,0,0
21009,67,1,4,0,0
21010,46,1,2,1,0
21011,37,1,12,0,0
21012,12,1,2,0,0
21013,39,2,3,0,0
21014,69,6,6,2,1
21015,25,1,2,0,0
21016,89,1,2,0,0
21017,105,4,26,1,1
21018,47,1,16,1,1
21019,39,2,7,0,0
21020,51,7,11,3,0
21021,27,5,3,1,0
21022,21,3,6,1,0
21023,12,1,4,0,0
21024,14,1,7,0,1
21025,19,1,6,0,0
21026,49,6,15,3,0
21027,106,5,10,1,0
21028,59,2,3,0,0
21029,70,3,12,0,1
21030,66,5,9,0,2
21031,21,1,8,0,0
21032,69,7,17,1,0
21033,24,1,6,0,0
21034,39,1,15,0,0
21035,27,4,4,0,1
21036,42,4,4,0,1
21037,34,4,5,0,0
21038,37,1,3,0,0
21039,27,4,7,1,0
21040,9,4,0,0,1
21041,53,4,4,0,2
21042,4,3,1,0,1
21043,18,1,5,0,0
21044,8,1,6,0,0
21045,38,5,5,0,1
21046,24,2,6,0,0
21047,9,1,2,0,0
21048,23,1,3,0,0
21049,16,2,6,2,0
21050,36,1,4,0,0
21051,38,9,21,3,1
21052,37,1,3,1,0
21053,23,3,4,1,0
21054,7,2,0,0,2
21055,74,2,25,3,0
21056,19,1,4,0,0
21057,67,1,3,0,0
21058,26,1,5,0,0
21059,45,5,16,1,2
21060,11,4,6,0,0
21061,42,1,3,0,1
21062,25,2,6,0,0
21063,54,6,15,3,1
21064,19,2,2,0,0
21065,19,2,4,0,0
21066,25,1,4,0,0
21067,19,4,3,1,1
21068,72,7,11,5,1
21069,50,3,11,1,1
21070,43,5,5,0,0
21071,20,3,5,1,0
21072,11,3,5,1,0
21073,22,1,3,0,0
21074,21,1,5,0,0
21075,16,2,3,0,0
21076,89,2,4,0,0
21077,42,5,6,1,1
21078,17,1,3,0,0
21079,34,1,8,0,0
21080,17,1,8,0,0
21081,18,1,3,0,0
21082,98,2,5,1,0
21083,12,2,3,0,0
21084,50,1,11,0,0
21085,23,7,6,2,1
21086,33,2,4,0,1
21087,75,8,12,2,0
21088,37,5,2,0,0
21089,21,1,2,0,0
21090,35,4,11,0,1
21091,14,3,2,0,0
21092,30,3,3,1,0
21093,51,1,5,0,0
21094,126,3,11,0,1
21095,25,2,4,0,1
21096,24,1,2,0,0
21097,29,2,9,0,0
21098,60,5,13,0,0
21099,73,10,49,4,3
21100,10,2,2,0,0
21101,35,1,6,0,1
