count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
14500,27,1,2,1,0
14501,43,1,8,2,1
14502,20,1,7,0,0
14503,35,1,8,0,1
14504,85,1,5,0,0
14505,43,1,6,0,0
14506,61,2,12,3,2
14507,24,1,11,1,0
14508,51,2,14,2,0
14509,43,4,8,0,0
14510,29,1,7,0,0
14511,31,4,11,1,0
14512,8,1,7,0,0
14513,6,1,2,0,0
14514,16,2,3,0,3
14515,18,2,4,0,1
14516,44,1,13,2,1
14517,34,1,3,1,0
14518,25,2,2,0,0
14519,11,2,2,1,1
14520,40,2,8,1,0
14521,27,2,4,1,0
14522,104,6,8,2,0
14523,56,2,2,1,1
14524,21,2,4,0,1
14525,28,2,14,1,2
14526,32,1,8,0,0
14527,64,8,13,5,0
14528,10,2,2,0,0
14529,39,1,5,0,0
14530,27,3,4,0,1
14531,10,2,2,0,0
14532,35,1,9,0,0
14533,18,4,9,0,0
14534,107,2,10,1,0
14535,14,3,2,0,0
14536,27,2,8,1,1
14537,39,2,8,1,0
14538,13,2,3,1,0
14539,79,5,4,1,1
14540,17,8,5,2,1
14541,37,2,3,0,0
14542,18,1,2,0,0
14543,53,1,9,1,0
14544,12,1,4,0,0
14545,46,6,3,2,1
14546,19,7,2,1,1
14547,96,2,4,0,0
14548,37,6,6,1,0
14549,32,3,3,0,0
14550,45,11,2,1,3
14551,32,1,4,0,0
14552,32,4,11,1,1
14553,18,1,2,0,0
14554,39,6,2,0,1
14555,15,1,2,0,0
14556,50,5,10,2,0
14557,115,2,27,1,0
14558,10,2,3,0,0
14559,23,5,4,0,0
14560,77,1,7,0,0
14561,16,1,9,0,0
14562,38,2,10,1,1
14563,27,2,10,0,0
14564,56,2,9,1,0
14565,25,2,4,1,0
14566,42,1,9,0,0
14567,37,2,17,0,0
14568,26,1,2,0,0
14569,37,1,5,0,0
14570,46,9,7,0,0
14571,26,3,5,0,0
14572,45,2,3,1,0
14573,45,4,18,1,0
14574,28,2,7,1,0
14575,38,1,4,1,0
14576,32,2,15,0,1
14577,44,4,33,4,0
14578,53,4,7,2,0
14579,49,3,7,0,1
14580,49,1,8,2,0
14581,6,2,1,0,4
14582,61,1,12,0,0
14583,20,1,6,0,0
14584,70,4,23,1,0
14585,27,1,2,0,0
14586,12,2,3,0,0
14587,52,1,9,0,1
14588,24,1,10,0,0
14589,78,4,8,0,0
14590,13,2,5,0,0
14591,53,2,14,0,0
14592,24,4,3,0,0
14593,16,1,2,0,0
14594,10,2,2,0,0
14595,44,1,5,0,0
14596,57,8,26,4,0
14597,61,9,4,2,1
14598,21,2,3,1,1
14599,40,2,1,1,1
14600,64,4,10,0,0
14601,13,2,4,0,0
14602,38,2,3,0,1
14603,30,1,3,0,0
14604,17,2,2,1,0
14605,37,1,4,0,0
14606,29,1,2,0,0
14607,36,3,25,1,0
14608,43,1,12,0,1
14609,53,1,15,1,0
14610,59,2,4,1,1
14611,24,6,3,1,1
14612,12,1,3,0,0
14613,16,3,3,0,0
14614,121,14,44,5,0
14615,18,1,2,0,0
14616,49,2,5,1,0
14617,39,3,17,1,0
14618,61,3,3,1,0
14619,65,1,6,0,0
14620,40,3,12,1,0
14621,57,5,8,0,0
14622,17,3,2,0,0
14623,12,1,3,2,0
14624,32,6,7,0,1
14625,72,6,11,0,0
14626,19,4,3,1,1
14627,30,4,3,2,3
14628,24,1,2,0,0
14629,9,1,2,0,0
14630,76,3,19,2,0
14631,9,1,3,0,0
14632,21,3,4,0,0
14633,28,4,14,2,0
14634,33,3,3,0,1
14635,45,3,7,0,0
14636,16,1,4,0,0
14637,20,2,4,0,0
14638,10,2,4,0,0
14639,35,1,3,1,0
14640,154,7,3,1,0
14641,22,1,2,0,0
14642,98,6,11,4,0
14643,44,3,7,2,1
14644,13,2,2,1,1
14645,9,1,3,0,1
14646,32,4,4,1,1
14647,27,1,6,1,0
14648,26,5,3,1,9
14649,49,4,9,4,0
14650,28,3,5,0,0
14651,31,2,2,0,1
14652,75,7,11,3,0
14653,12,1,2,0,0
14654,22,2,6,0,0
14655,40,2,8,1,0
14656,143,6,17,2,0
14657,22,2,5,0,0
14658,16,1,4,0,1
14659,42,3,6,1,0
14660,56,1,17,0,0
14661,27,1,3,0,0
14662,30,2,5,0,1
14663,33,11,1,0,3
14664,89,1,7,0,1
14665,19,2,13,0,0
14666,20,1,7,0,0
14667,24,1,7,2,0
14668,39,8,6,0,0
14669,42,2,10,2,0
14670,6,1,2,0,0
14671,21,1,4,0,0
14672,39,6,8,2,2
14673,71,1,11,0,0
14674,25,3,3,0,0
14675,72,5,13,5,2
14676,93,1,4,0,0
14677,26,1,8,2,0
14678,24,1,4,1,0
14679,41,4,1,1,1
14680,77,3,2,1,1
14681,9,1,2,0,0
14682,45,1,5,0,1
14683,51,6,4,2,0
14684,47,7,10,1,2
14685,41,12,2,1,0
14686,25,3,4,2,2
14687,90,2,19,3,0
14688,12,1,3,1,0
14689,20,5,5,0,0
14690,61,2,3,0,0
14691,57,3,11,1,0
14692,61,2,11,2,0
14693,31,4,4,0,1
14694,14,1,7,2,0
14695,22,1,2,0,0
14696,39,2,4,1,2
14697,22,1,3,0,0
14698,23,2,7,0,1
14699,32,2,4,0,0
14700,9,1,2,0,0
14701,41,6,11,3,1
14702,21,1,2,0,0
14703,58,3,18,3,1
14704,15,1,2,0,0
14705,23,2,5,1,0
14706,123,3,12,1,0
14707,9,1,2,0,0
14708,30,1,7,0,0
14709,11,3,3,0,0
14710,20,1,10,0,0
14711,26,1,3,0,0
14712,44,7,6,2,2
14713,15,4,5,0,0
14714,59,6,17,5,2
14715,16,2,2,0,0
14716,61,3,10,1,1
14717,41,8,20,4,2
14718,16,1,11,0,0
14719,10,2,2,1,0
14720,53,10,8,0,0
14721,42,3,11,0,0
14722,60,6,15,3,1
14723,42,7,13,2,1
14724,17,1,8,0,0
14725,65,7,24,3,0
14726,68,3,6,0,0
14727,14,3,4,0,0
14728,48,2,15,2,0
14729,33,2,4,0,0
14730,24,1,12,2,0
14731,40,2,10,1,0
14732,66,1,7,1,0
14733,147,3,25,3,0
14734,38,1,2,0,1
14735,36,2,3,1,0
14736,25,2,6,1,1
14737,73,2,6,1,1
14738,76,9,6,3,1
14739,14,2,1,2,4
14740,9,1,2,0,0
14741,17,2,6,0,0
14742,53,2,0,0,1
14743,80,4,13,2,1
14744,65,5,9,1,2
14745,63,1,7,0,0
14746,55,2,7,2,0
14747,35,1,2,0,0
14748,36,1,2,0,0
14749,9,1,3,0,0
14750,18,1,2,0,0
14751,30,11,5,2,2
14752,51,6,7,4,0
14753,17,3,3,0,0
14754,15,3,5,0,1
14755,13,2,4,1,0
14756,11,2,3,1,0
14757,13,2,2,0,0
14758,14,1,2,0,2
14759,52,10,12,3,3
14760,35,1,8,1,0
14761,14,3,3,1,0
14762,79,1,4,0,0
14763,79,1,4,0,1
14764,102,2,7,3,2
14765,43,3,3,0,0
14766,144,5,1,1,1
14767,18,3,4,1,0
14768,41,5,12,1,2
14769,71,6,5,2,0
14770,100,1,3,1,1
14771,73,5,13,4,0
14772,114,2,23,0,0
14773,10,1,2,0,1
14774,11,3,2,0,0
14775,52,5,10,2,1
14776,44,1,5,0,0
14777,30,4,4,1,2
14778,18,1,2,0,0
14779,10,2,2,0,0
14780,28,1,2,0,1
14781,46,12,18,3,1
14782,60,1,3,0,1
14783,33,4,5,2,1
14784,86,4,12,2,1
14785,22,7,6,2,1
14786,36,2,5,0,0
14787,101,1,4,0,0
14788,25,4,14,1,0
14789,33,11,11,3,1
14790,44,1,8,0,0
14791,78,3,5,1,0
14792,36,2,7,1,1
14793,33,5,8,3,1
14794,40,1,4,0,0
14795,38,5,3,1,0
14796,19,1,6,0,0
14797,9,1,2,0,0
14798,26,2,1,0,1
14799,9,1,2,0,0
14800,54,3,1,1,1
14801,50,1,10,1,0
14802,10,2,2,0,0
14803,41,5,5,2,1
14804,81,1,3,0,0
14805,55,1,4,0,0
14806,29,1,5,0,0
14807,35,3,5,1,1
14808,38,6,2,0,0
14809,10,2,2,0,0
14810,32,3,7,0,0
14811,63,4,10,0,1
14812,46,4,4,1,1
14813,34,3,1,0,1
14814,60,2,11,0,0
14815,69,2,2,0,1
14816,47,2,2,0,0
14817,50,4,2,1,0
14818,84,3,16,1,0
14819,43,3,7,1,1
14820,11,1,4,1,0
14821,13,1,2,0,1
14822,44,3,10,2,1
14823,15,3,4,0,1
14824,18,1,5,0,0
14825,26,3,14,1,0
14826,23,7,13,3,0
14827,18,2,4,0,1
14828,14,1,4,0,0
14829,81,6,10,1,0
14830,55,5,11,1,0
14831,36,1,2,0,0
14832,31,2,6,1,0
14833,16,1,8,0,0
14834,16,5,5,2,0
14835,30,7,7,1,0
14836,49,2,15,1,0
14837,9,1,2,0,0
14838,96,1,8,0,0
14839,42,5,10,0,0
14840,27,2,5,0,0
14841,32,3,3,2,0
14842,28,4,4,1,0
14843,71,3,15,2,1
14844,48,2,10,0,0
14845,24,1,2,0,0
14846,21,1,5,0,0
14847,58,3,17,2,1
14848,100,3,11,0,0
14849,50,3,17,2,1
14850,17,3,5,0,0
14851,21,4,8,0,0
14852,54,2,15,0,0
14853,45,4,4,1,1
14854,62,3,13,0,0
14855,26,1,2,0,0
14856,48,6,2,1,4
14857,20,2,2,0,0
14858,44,3,5,1,0
14859,17,6,2,1,0
14860,25,4,3,0,0
14861,35,5,3,1,0
14862,20,7,11,1,0
14863,45,2,5,1,0
14864,35,1,6,0,0
14865,15,4,8,1,0
14866,21,3,8,0,1
14867,21,1,8,0,0
14868,10,2,6,0,0
14869,7,1,3,0,1
14870,17,3,3,0,0
14871,61,3,29,4,0
14872,30,2,3,0,1
14873,43,5,2,1,0
14874,19,2,8,0,0
14875,29,2,2,1,0
14876,19,6,2,1,2
14877,13,2,6,1,0
14878,32,1,5,1,0
14879,153,8,26,4,1
14880,7,2,4,1,0
14881,82,9,4,1,2
14882,32,2,3,3,2
14883,46,4,12,1,1
14884,47,3,5,1,1
14885,51,2,27,1,1
14886,84,5,18,2,4
14887,44,2,8,1,1
14888,29,1,9,0,0
14889,60,3,11,0,0
14890,75,3,7,4,3
14891,46,2,14,0,0
14892,46,1,2,0,1
14893,46,4,3,0,1
14894,51,5,2,2,5
14895,31,1,12,3,0
14896,46,1,2,0,0
14897,40,3,3,1,0
14898,42,6,18,1,1
14899,32,1,8,0,0
14900,33,4,3,0,0
14901,20,6,3,1,1
14902,61,2,15,2,0
14903,29,4,6,1,0
14904,23,1,3,0,0
14905,55,6,6,2,2
14906,48,2,6,1,0
14907,52,3,8,1,2
14908,51,1,4,0,1
14909,10,2,4,1,0
14910,15,3,3,0,1
14911,15,3,3,0,1
14912,69,8,13,4,0
14913,22,4,3,1,1
14914,12,3,3,1,1
14915,31,1,7,0,0
14916,27,1,3,1,0
14917,34,6,16,4,0
14918,65,5,6,1,4
14919,49,15,8,3,0
14920,26,6,4,0,1
14921,39,1,8,0,0
14922,92,2,5,1,0
14923,43,2,14,0,0
14924,28,1,9,2,1
14925,23,2,11,1,0
14926,33,3,13,0,1
14927,31,4,5,0,0
14928,56,9,14,5,2
14929,23,3,2,0,0
14930,26,1,8,1,0
14931,34,3,9,0,0
14932,52,4,16,2,0
14933,25,3,12,1,0
14934,29,1,2,0,0
14935,32,1,4,0,1
14936,23,3,4,0,2
14937,15,1,3,0,0
14938,20,1,9,0,0
14939,47,1,3,0,1
14940,9,1,2,0,0
14941,15,1,6,0,0
14942,15,1,4,0,0
14943,35,2,8,2,0
14944,26,6,5,1,0
14945,18,3,5,1,0
14946,26,2,3,0,0
14947,20,4,7,3,0
14948,58,6,7,2,1
14949,65,2,2,1,0
14950,10,1,2,0,1
14951,39,6,3,1,2
14952,65,5,12,4,6
14953,23,2,4,1,1
14954,31,4,3,0,0
14955,12,1,2,0,0
14956,17,1,6,1,2
14957,28,3,15,0,0
14958,17,3,5,1,1
14959,16,1,3,0,0
14960,43,3,2,1,0
14961,63,3,12,2,1
14962,19,3,5,0,0
14963,53,3,2,0,1
14964,28,5,12,2,1
14965,53,1,2,0,0
14966,24,6,4,4,1
14967,5,1,1,2,4
14968,66,4,25,4,7
14969,15,4,4,1,3
14970,14,1,3,0,0
14971,25,1,3,0,0
14972,38,1,8,0,0
14973,53,1,2,0,0
14974,24,5,3,0,0
14975,84,1,2,0,0
14976,23,1,2,0,0
14977,23,6,6,2,0
14978,29,1,6,0,0
14979,15,1,2,0,0
14980,33,1,8,1,1
14981,43,4,5,1,1
14982,24,1,3,0,0
14983,42,8,4,0,0
14984,28,2,5,1,1
14985,14,1,5,0,0
14986,11,2,3,0,1
14987,11,1,2,0,0
14988,64,1,5,0,1
14989,15,5,2,0,0
14990,40,3,2,1,1
14991,16,5,2,1,0
14992,32,6,8,1,0
14993,65,3,14,3,1
14994,30,1,12,0,0
14995,26,6,6,2,1
14996,36,8,9,3,0
14997,54,5,11,2,0
14998,64,4,10,0,0
14999,49,3,4,3,0
