count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
41000,16,2,2,1,2
41001,21,1,9,0,0
41002,39,2,9,1,0
41003,20,1,6,2,0
41004,157,17,17,4,2
41005,26,3,4,0,0
41006,12,1,2,0,0
41007,12,1,11,1,0
41008,37,4,7,0,0
41009,103,3,18,4,0
41010,39,1,7,0,0
41011,36,1,9,0,0
41012,27,5,6,2,0
41013,58,6,14,2,0
41014,110,3,3,0,1
41015,47,5,6,4,0
41016,52,2,3,1,0
41017,50,13,3,1,1
41018,65,1,9,0,0
41019,14,3,3,0,0
41020,52,5,10,1,1
41021,25,5,1,0,2
41022,124,8,14,2,1
41023,47,3,4,0,0
41024,19,2,2,0,0
41025,23,1,8,2,0
41026,29,1,4,0,0
41027,16,2,4,0,0
41028,52,2,5,1,0
41029,95,2,6,0,0
41030,51,5,8,2,1
41031,98,3,12,1,1
41032,43,1,4,2,0
41033,28,2,10,0,0
41034,93,5,12,1,1
41035,9,1,2,0,0
41036,14,3,4,0,0
41037,25,4,2,0,1
41038,55,2,5,1,0
41039,54,4,17,2,0
41040,53,3,11,1,1
41041,79,5,6,2,0
41042,34,3,7,0,0
41043,10,2,2,1,0
41044,49,2,22,0,0
41045,21,5,6,0,1
41046,86,7,15,1,0
41047,89,8,19,2,1
41048,56,1,4,1,0
41049,12,1,5,0,0
41050,60,5,13,2,1
41051,12,1,2,1,0
41052,12,1,2,0,0
41053,16,8,3,0,0
41054,29,3,19,2,0
41055,47,3,7,0,0
41056,103,11,22,4,1
41057,12,1,2,0,0
41058,75,9,14,2,1
41059,38,4,12,0,1
41060,20,1,2,0,0
41061,27,1,3,0,0
41062,8,1,4,1,0
41063,36,3,22,2,0
41064,37,1,10,0,1
41065,22,2,6,0,1
41066,14,3,5,0,0
41067,15,1,5,0,0
41068,66,12,17,4,1
41069,21,1,2,0,0
41070,55,3,9,1,0
41071,40,1,8,0,0
41072,119,7,39,3,1
41073,18,2,3,2,0
41074,85,12,9,3,1
41075,32,1,2,0,0
41076,24,4,6,0,0
41077,81,4,10,0,1
41078,6,1,3,0,0
41079,46,1,2,1,0
41080,24,1,2,0,0
41081,50,2,13,2,1
41082,27,3,10,4,0
41083,13,2,2,1,0
41084,54,2,14,2,0
41085,39,2,4,0,0
41086,57,4,7,1,1
41087,33,2,2,1,0
41088,31,6,4,1,0
41089,41,2,3,1,1
41090,48,3,17,0,0
41091,26,7,5,1,2
41092,14,2,2,0,1
41093,18,10,2,0,0
41094,25,3,16,0,0
41095,47,1,6,0,0
41096,48,2,11,1,1
41097,27,4,5,2,1
41098,9,1,2,0,0
41099,61,1,3,0,0
41100,121,9,19,7,2
41101,41,3,4,1,1
41102,19,1,3,1,1
41103,58,1,8,1,1
41104,117,13,24,4,0
41105,35,1,2,0,0
41106,48,9,8,2,0
41107,31,1,3,0,0
41108,80,5,6,4,0
41109,42,3,5,0,1
41110,10,2,2,0,0
41111,16,2,7,1,0
41112,47,5,7,2,1
41113,29,1,5,0,0
41114,36,8,10,2,2
41115,11,2,3,1,1
41116,46,7,7,1,0
41117,19,8,6,1,1
41118,14,1,6,2,0
41119,61,11,22,4,0
41120,19,2,3,1,0
41121,49,5,2,1,2
41122,15,2,3,0,1
41123,17,3,4,0,0
