count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
48500,28,5,5,2,0
48501,39,4,6,2,2
48502,30,1,6,0,0
48503,77,3,10,0,0
48504,18,1,6,1,0
48505,61,3,8,2,0
48506,15,1,4,0,0
48507,39,7,7,0,1
48508,83,8,21,0,0
48509,28,1,2,0,0
48510,85,4,34,2,0
48511,111,3,10,1,0
48512,24,4,10,1,0
48513,51,1,5,0,0
48514,43,1,5,0,1
48515,61,4,8,0,1
48516,12,1,2,0,0
48517,12,1,2,0,0
48518,16,1,10,0,0
48519,23,2,7,0,0
48520,28,1,2,0,0
48521,82,5,17,2,0
48522,45,6,10,1,0
48523,35,8,9,1,3
48524,55,1,4,0,0
48525,40,3,3,1,0
48526,65,2,10,1,0
48527,30,2,3,0,0
48528,36,1,2,0,0
48529,12,1,2,0,0
48530,40,3,9,1,0
48531,55,7,6,1,2
48532,20,1,5,0,0
48533,34,6,6,2,0
48534,24,1,4,0,0
48535,65,14,21,3,0
48536,78,5,12,1,0
48537,15,1,7,0,0
48538,50,3,6,0,1
48539,29,1,3,1,0
48540,43,1,3,0,0
48541,9,1,2,0,0
48542,64,9,10,1,0
48543,62,2,20,2,0
48544,48,2,16,1,0
48545,100,2,14,1,0
48546,55,4,7,1,0
48547,36,1,4,1,0
48548,62,8,10,3,2
48549,43,2,1,0,1
48550,17,1,3,0,0
48551,39,5,9,0,0
48552,38,4,2,0,0
48553,80,3,26,1,0
48554,43,1,3,0,0
48555,58,1,2,0,0
48556,42,2,2,1,4
48557,93,11,42,2,2
48558,22,1,8,0,0
48559,44,5,7,1,0
48560,42,10,12,0,3
48561,78,3,6,1,1
48562,17,9,4,0,0
48563,28,3,8,0,1
48564,35,9,8,0,1
48565,43,1,6,0,0
48566,24,8,4,2,0
48567,32,1,6,0,0
48568,27,1,9,0,0
48569,52,2,6,0,0
48570,18,1,2,0,0
48571,51,6,16,2,0
48572,90,1,13,3,0
48573,13,2,2,0,0
48574,13,5,2,2,0
48575,28,2,8,0,0
48576,27,1,3,0,0
48577,32,3,7,0,0
48578,22,4,9,0,0
48579,28,8,2,0,2
48580,56,5,10,1,0
48581,71,3,29,0,0
48582,12,1,2,0,0
48583,16,5,3,0,0
48584,30,1,4,0,0
48585,43,1,7,0,0
48586,44,1,5,0,0
48587,16,2,6,1,0
48588,65,2,7,0,1
48589,57,1,2,0,0
48590,25,1,3,0,1
48591,18,1,3,0,0
48592,10,3,5,0,0
48593,24,1,8,0,0
48594,28,2,8,0,0
48595,19,5,8,1,0
48596,33,4,10,2,0
48597,42,1,15,0,0
48598,23,3,3,1,1
48599,18,1,9,0,0
48600,42,7,3,0,0
48601,27,5,11,0,0
48602,12,1,2,0,0
48603,53,1,6,0,0
48604,58,2,3,0,0
48605,65,2,11,0,0
48606,9,1,2,0,0
48607,55,2,17,1,0
48608,41,1,3,0,0
48609,53,2,7,0,0
48610,24,3,4,1,0
48611,81,4,17,2,0
48612,41,1,6,0,0
48613,33,5,6,0,1
48614,58,2,4,0,0
48615,68,5,14,3,0
48616,23,3,3,0,1
48617,9,1,3,0,0
48618,61,1,3,0,0
48619,12,3,2,0,1
48620,11,2,2,0,1
48621,16,5,3,1,0
48622,39,1,5,0,0
48623,16,2,8,0,0
48624,32,1,3,0,0
48625,35,7,7,0,0
48626,35,1,6,1,0
48627,11,3,2,0,0
48628,64,5,16,3,0
48629,37,3,8,1,1
48630,38,3,3,1,0
48631,23,9,3,0,0
48632,32,1,9,0,1
48633,16,3,2,0,0
48634,55,3,3,0,1
48635,12,1,4,0,0
48636,28,1,4,0,0
48637,65,3,17,2,0
48638,78,4,7,2,1
48639,13,1,7,0,0
48640,38,5,6,3,2
48641,59,4,22,3,0
48642,27,5,6,0,0
48643,23,1,6,0,0
48644,72,3,3,1,1
48645,31,4,8,0,0
48646,73,4,4,2,0
48647,80,2,2,2,0
48648,52,7,14,2,2
48649,30,1,5,1,0
48650,57,7,19,0,2
48651,29,2,5,0,0
48652,53,1,10,0,0
48653,26,1,4,0,0
48654,42,1,3,0,0
48655,20,1,2,0,0
48656,24,1,2,0,0
48657,18,1,3,0,0
48658,47,1,8,0,0
