count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
7500,75,2,13,1,0
7501,78,1,6,1,0
7502,42,2,3,2,0
7503,37,2,12,2,0
7504,49,4,12,3,2
7505,43,2,23,0,0
7506,86,2,11,2,1
7507,23,2,3,0,0
7508,29,3,5,0,0
7509,34,3,6,0,0
7510,19,1,5,0,1
7511,32,3,8,0,0
7512,22,3,3,2,0
7513,51,5,5,0,1
7514,13,2,5,0,0
7515,20,1,3,0,1
7516,29,2,5,1,0
7517,48,4,3,0,1
7518,9,1,2,0,0
7519,90,6,6,2,0
7520,40,2,11,0,1
7521,34,3,1,0,1
7522,57,4,6,1,0
7523,20,2,2,0,1
7524,19,1,3,0,0
7525,7,2,2,0,0
7526,56,2,16,1,1
7527,21,1,6,0,0
7528,48,1,4,0,0
7529,120,4,21,3,1
7530,30,1,7,1,0
7531,39,4,7,3,4
7532,44,3,3,0,0
7533,33,2,10,0,1
7534,74,7,11,0,0
7535,70,1,5,0,0
7536,38,3,17,1,1
7537,60,2,11,0,1
7538,52,7,14,3,0
7539,36,6,10,2,0
7540,47,1,3,0,0
7541,36,5,15,3,0
7542,47,3,11,0,1
7543,12,1,8,1,0
7544,20,2,2,0,1
7545,32,2,5,0,0
7546,10,2,0,0,1
7547,67,3,19,1,1
7548,18,2,4,2,1
7549,25,1,5,1,0
7550,45,10,12,3,0
7551,15,1,5,0,0
7552,24,4,4,1,0
7553,47,1,16,0,0
7554,53,2,8,0,1
7555,27,2,5,0,0
7556,38,2,2,0,0
7557,49,1,3,0,0
7558,28,1,4,0,0
7559,44,1,7,0,0
7560,11,2,3,0,1
7561,81,3,7,1,0
7562,31,2,7,0,1
7563,59,5,26,2,1
7564,91,3,13,2,1
7565,70,4,21,5,0
7566,27,2,2,0,0
7567,49,6,2,1,1
7568,9,1,3,0,0
7569,24,2,2,0,0
7570,17,3,4,2,0
7571,64,1,11,1,0
7572,55,4,13,2,1
7573,42,4,2,0,1
7574,23,2,2,0,0
7575,29,7,10,0,0
7576,51,8,9,1,2
7577,15,1,7,0,0
7578,33,1,2,0,0
7579,9,1,2,0,0
7580,13,2,2,1,0
7581,24,1,4,0,0
7582,25,2,3,2,0
7583,24,4,3,0,0
7584,35,1,6,0,1
7585,16,1,2,0,1
7586,62,1,11,1,0
7587,39,2,17,2,0
7588,68,1,7,0,0
7589,88,13,25,4,2
7590,13,2,4,2,0
7591,32,6,3,1,3
7592,20,2,7,0,0
7593,27,1,3,0,0
7594,76,4,6,1,0
7595,48,2,4,0,0
7596,72,1,2,0,0
7597,14,1,7,1,0
7598,93,3,28,2,1
7599,22,3,3,0,0
7600,71,6,7,1,0
7601,35,1,3,0,0
7602,34,2,5,0,0
7603,57,3,3,0,0
7604,18,1,6,0,0
7605,21,2,0,0,1
7606,29,2,1,1,1
7607,13,2,4,2,0
7608,19,7,3,1,1
7609,16,4,4,0,1
7610,16,1,5,0,0
7611,9,2,6,1,0
7612,11,2,3,1,0
7613,41,1,15,1,0
7614,9,1,1,0,8
7615,33,1,6,0,0
7616,24,2,3,1,0
7617,60,5,9,2,0
7618,38,1,2,0,0
7619,54,5,6,1,0
7620,22,3,4,0,0
7621,15,1,2,0,0
7622,19,1,2,0,0
7623,29,1,3,0,0
7624,52,1,23,1,0
7625,32,1,6,0,0
7626,15,1,4,0,0
7627,24,2,5,1,0
7628,17,1,5,0,0
7629,56,4,8,1,0
7630,10,2,5,1,0
7631,11,3,3,0,0
7632,83,1,13,1,0
7633,54,3,6,2,0
7634,21,1,4,0,0
7635,44,1,12,1,0
7636,26,2,5,0,2
7637,96,2,6,0,1
7638,28,1,9,0,1
7639,12,1,6,0,0
7640,14,3,3,2,0
7641,84,1,11,0,0
7642,29,1,4,0,0
7643,60,1,3,1,0
7644,16,7,5,1,1
7645,15,1,2,0,0
7646,28,1,10,0,0
7647,27,3,2,0,0
7648,15,4,4,0,0
7649,11,3,2,0,0
7650,54,3,7,1,0
7651,25,1,7,0,0
7652,20,1,3,0,0
7653,32,1,11,0,0
7654,47,1,4,0,0
7655,32,1,17,0,0
7656,10,2,4,0,0
7657,46,13,8,0,1
7658,21,2,11,1,1
