count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
15000,12,1,2,0,0
15001,70,3,32,3,0
15002,85,9,10,3,0
15003,99,6,15,3,1
15004,39,2,2,0,0
15005,65,3,4,0,0
15006,15,1,3,0,0
15007,99,2,10,1,1
15008,56,8,17,2,0
15009,81,1,15,0,0
15010,32,2,3,0,0
15011,84,8,8,2,0
15012,49,1,8,0,1
15013,55,8,15,0,1
15014,30,1,10,0,0
15015,20,1,2,0,0
15016,46,1,7,0,0
15017,13,2,2,0,0
15018,59,11,10,0,0
15019,15,3,2,0,1
15020,21,3,2,1,2
15021,18,5,8,2,0
15022,30,3,2,1,1
15023,92,9,2,0,2
15024,48,1,3,0,0
15025,30,2,10,1,0
15026,51,6,5,1,2
15027,24,1,3,0,0
15028,64,2,6,0,0
15029,35,4,10,1,0
15030,13,2,2,0,0
15031,55,1,2,0,0
15032,26,2,12,2,2
15033,110,3,8,1,1
15034,30,3,5,0,0
15035,30,2,13,2,1
15036,12,1,4,0,0
15037,12,1,3,0,0
15038,24,1,2,0,0
15039,74,1,11,1,1
15040,48,4,19,2,0
15041,89,6,24,2,0
15042,68,1,8,0,1
15043,69,3,13,1,1
15044,44,1,5,1,1
15045,41,4,5,0,0
15046,38,7,11,1,0
15047,18,1,7,0,0
15048,40,1,6,0,0
15049,35,8,4,2,0
15050,25,1,4,0,1
15051,20,1,11,0,0
15052,13,2,5,0,0
15053,38,3,8,1,0
15054,37,1,5,0,0
15055,34,1,2,0,0
15056,67,1,13,1,2
15057,21,3,1,0,1
15058,91,6,9,0,2
15059,34,1,5,0,0
15060,21,1,6,0,0
15061,17,3,2,0,0
15062,85,4,10,0,1
15063,49,2,8,0,0
15064,62,4,20,1,0
15065,33,4,2,2,1
15066,69,7,12,0,1
15067,15,3,1,0,1
15068,42,1,2,0,0
15069,12,1,2,0,0
15070,67,1,2,0,0
15071,26,2,5,2,0
15072,57,2,12,1,1
15073,55,9,19,4,2
15074,59,3,14,1,0
15075,52,3,13,4,0
15076,83,1,16,1,0
15077,20,2,3,0,0
15078,42,4,4,1,3
15079,68,4,20,2,1
15080,23,3,5,1,0
15081,86,7,9,3,1
15082,10,2,3,0,0
15083,64,1,5,0,0
15084,43,3,2,1,1
15085,57,2,13,1,0
15086,65,12,11,4,2
15087,12,1,3,0,0
15088,74,2,8,0,0
15089,19,1,2,0,0
15090,17,5,6,0,1
15091,13,2,3,1,0
15092,38,3,4,0,1
15093,105,5,46,6,0
15094,33,2,21,2,0
15095,19,5,2,0,0
15096,42,1,7,1,1
15097,37,1,7,0,0
15098,100,1,5,0,0
15099,30,2,3,0,0
15100,13,1,3,0,1
15101,15,1,5,0,0
15102,18,1,4,0,0
15103,27,1,12,0,0
15104,29,3,8,2,2
15105,46,5,6,1,0
15106,33,5,8,1,0
15107,9,1,2,0,0
15108,34,4,4,1,0
15109,22,2,5,0,0
15110,48,7,11,5,9
15111,20,2,2,0,0
15112,35,3,3,3,3
15113,11,2,2,0,1
15114,36,3,8,1,0
15115,40,2,3,0,0
15116,29,4,12,1,1
15117,65,1,3,0,0
15118,18,1,3,0,0
15119,17,1,2,0,0
15120,34,1,9,0,0
15121,20,4,11,0,1
15122,52,1,24,0,0
15123,9,1,3,0,0
15124,20,1,2,0,0
15125,54,3,6,0,1
15126,12,1,2,0,0
15127,29,1,8,0,1
15128,24,2,11,0,0
15129,54,2,3,0,1
15130,24,1,2,0,0
15131,61,3,8,0,1
15132,23,2,4,2,1
15133,20,3,4,0,0
15134,62,3,22,1,0
15135,27,3,7,2,2
15136,38,1,3,0,0
15137,17,3,2,0,0
15138,25,4,7,1,1
15139,35,2,7,0,1
15140,22,1,3,0,0
15141,45,2,2,0,0
15142,76,1,4,0,0
15143,41,2,10,1,1
15144,18,1,3,0,0
15145,20,2,2,1,1
15146,60,5,9,1,0
15147,31,2,4,1,0
15148,20,2,2,0,0
15149,25,1,8,0,0
15150,15,1,2,0,0
15151,39,2,6,1,0
15152,29,6,4,1,0
15153,61,2,11,1,0
15154,32,1,2,0,0
15155,62,2,5,0,0
15156,24,3,9,1,0
15157,14,1,3,0,0
15158,23,3,2,0,0
15159,76,8,23,1,2
15160,16,1,2,0,0
15161,7,2,2,0,0
15162,63,3,29,1,0
15163,22,5,8,1,0
15164,38,5,9,0,0
15165,72,9,21,0,0
15166,15,1,2,0,0
15167,23,1,4,0,0
15168,61,1,6,0,0
15169,50,2,8,1,0
15170,40,2,16,1,1
15171,59,1,3,0,0
15172,56,2,7,1,0
15173,43,9,8,0,1
15174,20,1,8,0,0
15175,43,1,5,0,0
15176,30,3,9,0,0
15177,15,1,3,0,0
15178,36,5,10,2,0
15179,46,1,2,0,0
15180,18,4,7,1,0
15181,56,15,17,2,1
15182,41,1,3,0,0
15183,15,1,3,0,0
15184,69,5,4,1,0
15185,19,2,6,0,0
15186,29,4,11,3,1
15187,25,3,4,0,0
15188,16,1,3,0,0
15189,33,4,17,2,0
15190,15,2,6,1,0
15191,37,7,7,1,0
15192,12,1,5,0,0
15193,26,3,11,1,0
15194,55,7,9,1,0
15195,11,1,3,0,0
15196,63,5,3,1,0
15197,57,1,5,2,1
15198,47,4,10,0,0
15199,50,4,5,1,2
15200,49,1,2,0,0
15201,15,1,4,0,0
15202,67,1,24,1,0
15203,14,3,5,0,0
15204,66,1,4,0,0
15205,20,2,12,1,0
15206,48,4,11,2,1
15207,13,5,2,0,0
15208,54,1,3,0,0
15209,37,6,14,1,0
15210,29,5,3,0,1
15211,8,1,3,0,0
15212,16,2,5,0,0
15213,38,1,8,1,0
15214,61,6,6,0,0
15215,60,1,5,0,0
15216,69,5,3,1,0
15217,18,1,3,0,0
15218,56,1,14,0,0
15219,31,2,5,1,0
15220,31,4,7,1,0
15221,13,2,3,0,0
15222,99,3,11,0,0
