count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
44500,9,1,2,0,0
44501,75,9,10,0,1
44502,66,6,19,2,0
44503,98,1,9,1,0
44504,13,4,2,0,1
44505,24,2,3,1,1
44506,76,4,5,0,1
44507,16,1,7,0,0
44508,35,2,8,0,0
44509,44,2,15,4,1
44510,63,2,10,1,0
44511,64,3,9,0,0
44512,56,5,12,0,0
44513,27,3,7,0,0
44514,77,8,12,2,1
44515,24,6,6,2,4
44516,25,5,5,0,0
44517,19,4,4,1,0
44518,107,1,10,1,0
44519,24,1,3,0,0
44520,57,1,12,0,0
44521,22,2,3,0,0
44522,26,1,2,1,0
44523,37,5,2,0,1
44524,26,2,4,1,1
44525,113,7,21,2,1
44526,49,6,16,1,0
44527,39,3,5,0,1
44528,21,3,12,0,1
44529,24,2,10,2,0
44530,59,3,22,0,0
44531,75,1,2,0,0
44532,65,4,5,1,0
44533,66,3,5,1,0
44534,30,2,3,0,0
44535,95,14,10,3,1
44536,16,1,9,0,0
44537,28,5,3,1,1
44538,22,1,6,0,0
44539,50,2,9,2,0
44540,47,1,8,1,0
44541,5,2,1,1,3
44542,23,4,4,2,3
44543,42,2,10,1,0
44544,38,2,5,0,0
44545,57,1,13,0,0
44546,100,5,1,1,2
44547,18,1,6,0,1
44548,37,2,8,0,0
44549,52,6,5,1,0
44550,12,1,2,0,0
44551,13,2,3,0,0
44552,86,9,11,2,1
44553,61,2,11,1,1
44554,38,7,8,1,0
44555,18,1,7,1,0
44556,27,1,7,2,3
44557,38,2,4,0,1
44558,51,3,11,4,2
44559,79,4,16,1,0
44560,80,3,5,1,2
44561,36,1,6,2,0
44562,53,3,10,2,0
44563,16,2,2,0,1
44564,15,3,3,1,1
44565,16,3,3,1,1
44566,10,2,3,0,0
44567,25,2,3,1,1
44568,87,15,14,1,0
44569,60,6,32,3,1
44570,17,1,4,0,0
44571,37,1,7,0,0
44572,33,4,3,2,1
44573,56,1,5,0,1
44574,36,1,7,0,0
44575,29,6,4,1,0
44576,73,5,15,3,0
44577,51,3,9,0,0
44578,24,2,3,1,0
44579,72,6,8,2,0
44580,35,3,4,0,0
44581,35,1,5,0,0
44582,39,5,4,1,1
44583,81,2,17,1,1
44584,12,1,4,0,0
44585,79,4,7,2,1
44586,44,1,8,1,0
44587,41,1,13,1,0
44588,22,2,4,0,0
44589,33,3,3,0,0
44590,16,2,12,1,0
44591,37,2,9,0,0
44592,50,2,4,0,1
44593,52,3,3,1,0
44594,18,1,4,0,0
44595,38,2,3,0,0
44596,40,4,10,2,0
44597,53,9,12,3,1
44598,77,1,11,0,0
44599,29,11,6,2,1
44600,45,1,3,0,0
44601,54,1,2,0,0
44602,50,8,2,1,1
44603,54,3,12,1,0
44604,41,3,3,1,0
44605,20,2,2,1,0
44606,29,2,3,0,0
44607,52,1,7,0,1
44608,92,5,4,0,0
44609,43,3,2,0,0
44610,57,7,33,3,0
44611,24,1,3,0,0
44612,24,5,11,2,0
44613,40,7,4,3,0
44614,31,3,9,2,1
44615,50,5,7,0,0
44616,21,2,5,1,1
44617,18,7,2,0,0
44618,57,1,17,0,0
44619,32,3,9,1,0
44620,35,2,8,0,0
44621,22,2,7,1,0
44622,20,4,2,1,3
44623,38,5,11,1,0
44624,91,5,5,2,2
44625,30,2,5,0,0
44626,66,6,5,0,0
44627,78,3,4,1,0
44628,45,8,5,1,1
44629,81,6,17,1,0
44630,9,1,3,0,0
44631,13,2,2,0,0
44632,57,1,13,0,1
44633,38,3,3,1,0
44634,9,1,2,0,0
44635,52,3,8,2,1
44636,34,4,4,0,1
44637,38,1,18,2,0
44638,41,2,10,1,3
44639,46,2,3,1,0
44640,37,1,3,0,0
44641,47,6,17,2,4
44642,18,1,5,0,1
44643,46,12,2,1,1
44644,48,6,3,0,0
44645,43,5,10,3,2
44646,25,1,4,0,1
44647,15,1,2,0,0
44648,24,2,6,0,0
44649,43,2,17,0,1
44650,67,5,4,1,0
44651,76,4,12,0,0
44652,60,6,9,2,2
44653,62,3,32,2,1
44654,64,5,3,2,0
44655,121,7,2,0,0
44656,64,2,5,1,0
44657,18,6,5,3,1
44658,36,4,15,1,0
44659,62,2,4,0,0
44660,50,8,4,1,0
44661,25,6,9,0,0
44662,73,5,1,0,1
44663,15,1,2,0,0
44664,24,1,4,0,1
44665,48,9,14,1,2
44666,47,4,20,1,1
44667,12,3,5,0,1
44668,67,2,2,0,0
44669,16,1,4,0,0
44670,20,1,6,0,1
44671,27,7,8,2,0
44672,27,2,9,0,0
44673,50,2,32,1,1
44674,61,4,8,1,1
44675,29,3,7,0,1
44676,23,2,5,0,0
44677,21,1,3,0,0
44678,27,1,4,0,0
44679,43,2,7,1,0
44680,72,4,7,0,1
44681,57,5,5,0,0
44682,54,2,4,0,0
44683,30,1,3,0,0
44684,52,3,10,0,1
44685,41,4,7,2,4
44686,75,1,9,0,0
44687,31,2,5,2,0
44688,71,3,13,1,0
44689,7,1,4,0,1
44690,59,5,3,0,0
44691,50,5,26,1,0
44692,26,1,12,1,0
44693,20,1,5,0,0
44694,32,5,7,1,1
44695,27,3,2,0,0
44696,25,1,5,0,0
44697,36,6,4,1,1
44698,20,1,4,3,1
44699,46,2,8,1,0
44700,14,1,3,0,0
44701,19,1,9,0,0
44702,36,1,3,0,0
44703,22,2,3,0,0
44704,26,3,2,0,1
44705,26,2,9,1,0
44706,26,3,9,0,0
