count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
53500,26,8,7,3,1
53501,12,1,5,0,0
53502,11,1,2,0,0
53503,36,2,9,0,1
53504,21,4,5,2,0
53505,12,1,2,0,0
53506,20,4,2,0,0
53507,27,3,4,1,0
53508,12,1,2,0,0
53509,51,5,9,1,0
53510,67,13,10,1,0
53511,67,1,2,0,0
53512,40,1,4,1,0
53513,33,3,6,0,0
53514,51,1,11,1,0
53515,28,4,3,0,1
53516,77,4,17,4,1
53517,16,2,2,0,0
53518,38,3,4,0,1
53519,14,4,3,1,0
53520,30,2,6,0,0
53521,43,2,18,0,0
53522,67,11,15,1,0
53523,35,9,4,0,0
53524,20,2,7,1,0
53525,62,1,10,1,0
53526,14,3,2,0,0
53527,17,2,9,0,1
53528,75,3,3,2,1
53529,34,2,4,0,0
53530,23,1,6,0,0
53531,12,1,2,0,0
53532,34,4,6,1,0
53533,107,2,14,1,1
53534,26,4,5,1,0
53535,42,3,3,1,1
53536,23,1,3,0,0
53537,12,1,8,1,0
53538,17,3,3,0,0
53539,25,4,2,1,0
53540,23,2,6,1,0
53541,11,3,3,0,0
53542,39,10,7,3,1
53543,9,1,2,0,0
53544,31,1,5,0,0
53545,30,6,5,2,0
53546,23,1,9,1,0
53547,17,3,3,1,0
53548,21,1,10,0,1
53549,86,5,13,2,1
53550,28,1,2,0,0
53551,47,2,4,0,0
53552,11,1,3,0,0
53553,15,4,5,0,0
53554,16,1,5,0,0
53555,9,1,2,0,0
53556,43,5,8,1,0
53557,6,1,2,0,0
53558,13,4,5,2,1
53559,71,2,6,0,1
53560,13,2,2,0,0
53561,54,9,6,1,0
53562,13,2,3,0,0
53563,64,7,7,1,1
53564,13,2,3,1,0
53565,86,7,24,4,0
53566,57,1,2,1,0
53567,53,1,5,0,0
53568,21,3,4,0,0
53569,36,2,2,0,1
53570,33,2,5,1,0
53571,47,6,4,0,0
53572,51,1,2,0,0
53573,70,1,12,0,0
53574,15,1,2,0,0
53575,44,3,5,1,0
53576,85,6,23,5,0
53577,32,3,7,0,0
53578,62,5,2,1,1
53579,14,3,2,0,0
53580,36,2,2,0,0
53581,38,1,14,1,1
53582,11,6,3,1,0
53583,24,5,3,0,0
53584,74,1,2,1,0
53585,38,1,3,0,0
53586,21,1,3,0,0
53587,19,1,2,0,0
53588,68,1,4,0,0
53589,19,2,2,0,1
53590,75,12,16,0,1
53591,19,3,4,0,0
53592,21,1,3,0,0
53593,34,2,5,1,2
53594,51,10,9,0,0
53595,48,2,10,2,0
53596,53,5,7,0,0
53597,16,3,3,0,0
53598,24,1,2,0,0
53599,18,1,2,0,0
53600,28,3,2,2,1
53601,24,1,2,0,0
53602,72,5,19,1,0
53603,23,3,7,2,0
53604,18,1,5,0,0
53605,46,7,16,2,0
53606,22,1,4,0,0
53607,29,1,5,0,0
53608,35,1,4,0,0
53609,21,6,4,0,1
53610,17,3,5,2,0
53611,45,2,14,1,1
53612,23,1,8,0,0
53613,42,2,3,0,1
53614,16,3,2,0,0
53615,23,3,9,0,0
53616,52,4,14,1,1
53617,49,7,6,0,0
53618,38,3,10,2,0
53619,35,1,3,0,0
53620,67,4,5,1,0
53621,24,1,4,0,0
53622,79,2,12,0,1
53623,67,1,17,1,0
53624,12,1,4,0,0
53625,69,4,3,0,0
53626,37,4,3,1,1
53627,11,3,2,0,0
53628,28,2,1,0,1
53629,49,4,6,1,1
53630,41,8,10,1,0
53631,51,2,3,0,1
53632,29,6,8,1,0
53633,44,2,31,1,0
53634,58,2,18,1,0
53635,50,2,4,0,0
53636,46,5,4,1,1
53637,64,9,16,4,0
53638,37,3,6,1,0
53639,72,9,14,3,1
53640,41,2,3,1,0
53641,42,5,5,1,0
53642,98,10,8,2,0
53643,95,1,22,0,0
53644,65,1,3,1,0
53645,57,2,12,2,0
53646,20,3,7,2,1
53647,27,1,2,0,0
53648,17,3,4,2,0
53649,42,2,2,0,0
53650,20,2,2,0,0
53651,9,1,2,0,0
53652,28,2,2,0,0
53653,59,4,3,1,1
53654,43,4,1,0,1
53655,24,1,5,0,0
53656,21,1,2,0,0
53657,22,3,2,0,0
53658,9,1,4,0,0
53659,10,2,2,0,0
53660,12,1,3,0,0
53661,22,1,2,1,0
53662,83,3,27,1,0
53663,17,1,5,0,0
53664,85,2,18,1,1
53665,51,3,1,1,1
53666,39,6,7,0,1
53667,40,2,7,0,0
53668,56,2,9,0,0
53669,28,2,8,1,0
53670,45,3,2,0,0
53671,52,4,12,4,2
53672,10,3,4,1,0
53673,85,1,3,0,0
53674,37,6,14,0,0
53675,41,3,16,0,0
53676,10,2,2,0,0
53677,77,2,21,0,0
53678,89,22,6,5,2
53679,14,3,6,0,0
53680,36,4,6,1,2
53681,20,1,7,1,0
53682,94,5,24,3,0
53683,27,5,6,2,0
53684,16,5,3,0,0
53685,56,4,24,1,0
53686,34,2,2,0,0
53687,9,1,2,0,0
53688,15,1,3,0,0
53689,13,2,4,2,0
53690,98,10,27,1,1
53691,51,5,4,1,0
53692,72,5,44,4,0
53693,14,2,3,0,1
53694,37,1,2,0,0
53695,28,4,4,2,0
53696,105,5,11,2,0
53697,36,8,13,2,2
53698,14,3,3,0,0
53699,20,1,2,0,0
53700,22,6,4,0,1
53701,99,4,11,3,1
53702,52,1,9,1,0
53703,56,1,11,2,0
53704,43,2,9,0,0
53705,18,1,4,0,0
53706,64,2,11,2,0
53707,23,1,3,0,0
53708,22,2,12,2,1
53709,48,1,9,0,0
53710,22,2,4,0,0
53711,34,3,7,2,0
53712,37,2,17,1,1
53713,12,1,4,0,0
53714,60,4,2,1,1
53715,15,4,4,0,0
53716,42,1,9,1,0
53717,55,5,17,2,2
53718,18,3,5,1,1
53719,43,6,8,1,1
53720,104,16,39,8,5
53721,38,5,5,2,1
53722,57,7,8,0,0
53723,74,3,5,0,1
53724,50,3,10,2,1
53725,12,1,7,0,3
53726,21,1,12,0,0
53727,28,3,10,1,0
53728,16,2,5,0,0
53729,25,1,3,0,0
53730,35,6,9,0,0
53731,39,5,14,1,0
53732,6,1,2,0,0
53733,67,3,1,1,1
53734,30,2,16,0,1
53735,15,4,3,2,0
53736,22,3,13,1,0
53737,69,3,10,1,0
53738,64,5,14,2,0
53739,32,1,7,0,0
53740,88,2,5,0,0
53741,12,1,2,0,0
53742,26,1,7,1,0
53743,43,3,12,2,1
53744,15,1,3,1,0
53745,17,1,7,2,2
