count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
40500,46,1,27,1,2
40501,43,1,8,0,0
40502,17,2,7,0,1
40503,23,4,2,1,0
40504,72,3,20,4,0
40505,25,1,2,0,0
40506,73,2,2,1,1
40507,53,1,4,0,0
40508,43,4,3,1,0
40509,17,1,7,1,0
40510,20,1,8,1,0
40511,55,5,7,0,2
40512,26,1,3,0,0
40513,29,2,4,0,0
40514,60,2,8,2,0
40515,42,6,4,2,0
40516,82,7,8,1,3
40517,39,1,2,0,1
40518,56,11,18,5,2
40519,14,1,7,1,1
40520,33,4,7,3,0
40521,9,1,3,0,0
40522,28,4,6,1,1
40523,51,14,15,7,1
40524,43,1,10,1,1
40525,28,2,3,0,0
40526,42,6,7,1,2
40527,34,1,3,0,0
40528,49,2,10,2,3
40529,49,2,5,1,0
40530,49,4,8,0,0
40531,66,3,10,1,2
40532,49,1,2,0,0
40533,22,3,7,0,1
40534,48,2,3,1,1
40535,98,1,2,0,1
40536,32,1,6,1,2
40537,60,2,6,1,1
40538,36,6,10,1,1
40539,17,3,5,2,0
40540,15,3,2,0,1
40541,50,2,6,3,2
40542,24,1,4,2,0
40543,50,2,8,2,1
40544,64,4,4,1,3
40545,87,3,6,0,2
40546,10,1,3,1,1
40547,17,3,3,0,0
40548,28,3,6,0,1
40549,16,5,3,1,3
40550,54,3,4,1,3
40551,22,2,3,0,0
40552,45,5,16,2,3
40553,67,6,12,2,2
40554,70,15,23,4,3
40555,27,1,2,0,2
40556,12,1,3,0,0
40557,41,1,2,0,0
40558,28,6,3,1,0
40559,103,5,16,1,0
40560,30,2,2,1,0
40561,13,2,3,0,0
40562,31,2,7,1,1
40563,74,5,24,1,1
40564,10,2,2,0,0
40565,20,1,12,0,0
40566,20,1,3,0,0
40567,14,3,2,0,0
40568,55,2,6,1,0
40569,10,2,2,1,0
40570,46,10,9,1,2
40571,41,2,5,0,0
40572,56,3,3,0,0
40573,26,1,4,0,0
40574,10,2,3,1,0
40575,68,5,11,1,1
40576,22,2,5,1,2
40577,83,4,4,0,0
40578,56,3,18,2,0
40579,13,2,4,0,0
40580,54,4,5,0,0
40581,43,1,7,1,0
40582,9,1,4,0,0
40583,64,4,8,0,0
40584,34,2,5,1,1
40585,38,2,13,1,0
40586,101,1,7,1,0
40587,22,1,5,0,0
40588,30,1,3,0,0
40589,33,2,18,0,0
40590,38,2,15,0,0
40591,43,5,11,1,1
40592,15,1,3,0,0
