count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
36500,13,5,2,0,0
36501,21,2,5,0,0
36502,20,5,6,1,1
36503,86,4,11,4,4
36504,21,1,6,2,1
36505,35,13,7,3,2
36506,52,5,10,1,0
36507,34,2,5,0,0
36508,82,8,12,3,0
36509,10,2,3,0,0
36510,41,1,2,0,0
36511,25,3,3,0,0
36512,26,2,4,1,0
36513,16,1,2,0,0
36514,21,1,8,0,0
36515,29,3,10,1,0
36516,13,1,3,1,1
36517,12,1,3,1,0
36518,167,2,5,1,1
36519,13,2,4,0,1
36520,44,4,3,2,1
36521,46,1,3,0,0
36522,33,5,11,0,1
36523,35,6,14,0,0
36524,25,6,3,2,1
36525,77,2,16,1,1
36526,46,1,3,1,1
36527,24,2,6,3,0
36528,35,2,7,0,0
36529,40,5,24,3,1
36530,20,1,2,0,0
36531,23,1,3,0,0
36532,24,3,5,0,0
36533,14,1,3,0,0
36534,24,1,2,0,0
36535,65,3,2,1,1
36536,12,4,5,2,0
36537,19,1,3,0,0
36538,31,3,20,3,0
36539,20,2,5,1,0
36540,25,2,5,1,0
36541,65,3,2,0,1
36542,29,2,17,2,1
36543,30,1,11,0,0
36544,28,2,7,0,1
36545,22,1,2,1,0
36546,47,1,4,0,0
36547,23,2,10,0,1
36548,52,4,2,1,1
36549,65,1,5,0,0
36550,79,1,5,0,1
36551,87,1,4,1,0
36552,63,1,3,0,0
36553,27,1,4,0,0
36554,16,4,3,0,1
36555,9,1,3,0,0
36556,51,5,14,1,1
36557,16,2,2,0,0
36558,26,1,13,1,0
36559,16,2,2,0,0
36560,32,11,4,0,0
36561,56,2,14,1,1
36562,110,2,5,0,1
36563,27,2,6,0,0
36564,59,1,18,0,0
36565,58,3,5,1,1
36566,45,3,3,2,2
36567,45,1,11,1,0
36568,20,3,3,1,2
36569,29,2,9,0,1
36570,39,4,9,0,0
36571,49,3,7,2,1
36572,138,13,8,2,1
36573,33,1,2,0,0
36574,96,3,11,1,0
36575,35,1,7,0,0
36576,77,4,13,3,2
36577,45,1,6,3,0
36578,13,2,3,0,0
36579,39,2,9,1,0
36580,77,2,3,1,1
36581,42,5,5,0,1
36582,5,2,3,0,0
36583,60,4,33,2,0
36584,33,2,15,1,0
36585,78,1,22,1,0
36586,35,4,2,0,1
36587,77,7,5,1,2
36588,41,1,7,0,0
36589,47,3,14,2,0
36590,41,1,3,1,0
36591,18,3,7,0,1
36592,16,1,2,0,0
36593,37,2,8,1,1
36594,53,2,5,0,1
36595,18,2,7,0,0
36596,25,3,6,0,0
36597,56,2,5,0,1
36598,57,1,4,0,0
36599,37,7,11,2,1
36600,52,1,5,0,0
36601,51,2,9,0,0
36602,46,1,4,1,1
36603,41,1,6,0,0
36604,49,2,5,0,0
36605,22,1,10,1,0
36606,13,1,2,1,0
36607,39,3,9,2,1
36608,20,2,6,1,0
36609,35,1,4,0,0
36610,51,2,7,0,0
36611,19,3,5,0,1
36612,34,2,6,1,0
36613,92,4,4,1,1
36614,20,2,5,0,1
36615,11,3,4,0,0
36616,36,1,5,1,0
36617,20,3,3,1,0
36618,10,2,3,0,0
36619,14,3,2,0,0
36620,39,1,5,0,1
36621,9,1,5,0,0
36622,27,1,13,0,0
36623,37,5,8,1,0
36624,71,7,3,2,0
36625,32,1,5,0,0
36626,21,2,5,1,0
36627,17,3,6,0,0
36628,21,2,4,1,0
36629,41,5,2,0,0
36630,14,3,2,0,0
36631,74,2,5,0,0
36632,86,1,4,0,0
36633,53,6,5,1,1
36634,54,2,9,1,0
