count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
51000,47,5,12,1,0
51001,64,5,6,2,1
51002,46,4,4,0,1
51003,18,1,7,0,0
51004,38,6,13,2,0
51005,26,3,8,1,0
51006,70,2,12,0,0
51007,19,1,3,0,0
51008,24,1,10,0,0
51009,27,3,3,1,1
51010,43,1,12,1,0
51011,46,5,9,0,0
51012,37,1,8,0,0
51013,21,1,7,1,0
51014,62,4,5,0,0
51015,59,8,24,4,1
51016,82,2,8,1,0
51017,63,4,1,2,1
51018,47,5,4,1,1
51019,67,2,3,0,0
51020,25,6,5,1,1
51021,51,2,4,1,0
51022,19,5,3,0,0
51023,56,1,18,1,0
51024,71,6,18,3,0
51025,15,2,5,2,0
51026,87,1,9,0,0
51027,54,1,7,1,0
51028,15,1,6,0,0
51029,50,2,10,1,1
51030,80,1,11,0,0
51031,59,6,7,2,1
51032,65,1,10,1,1
51033,42,9,9,2,0
51034,28,2,4,1,1
51035,52,2,7,0,0
51036,20,1,4,0,0
51037,25,2,9,2,2
51038,100,8,14,6,4
51039,40,3,11,2,1
51040,54,1,23,1,1
51041,32,1,8,0,0
51042,38,1,6,0,0
51043,37,5,6,0,0
51044,44,1,3,1,0
51045,18,1,4,0,0
51046,14,1,2,0,0
51047,28,5,4,0,0
51048,15,1,5,0,0
51049,42,1,3,3,0
51050,12,1,2,0,0
51051,14,1,3,0,0
51052,18,3,2,1,0
51053,20,2,6,2,1
51054,42,1,2,0,0
51055,61,23,15,2,2
51056,20,1,2,0,0
51057,12,3,5,0,0
51058,45,1,3,0,0
51059,100,13,37,5,0
51060,11,3,3,0,0
51061,24,1,6,2,0
51062,16,4,3,0,1
51063,10,1,2,1,0
51064,47,6,13,1,0
51065,27,4,15,2,0
51066,59,3,3,0,0
51067,71,4,32,4,0
51068,29,6,2,0,0
51069,32,2,13,1,0
51070,32,6,10,4,2
51071,15,3,2,0,1
51072,101,3,24,3,1
51073,37,1,3,0,1
51074,24,6,6,2,1
51075,21,3,4,0,0
51076,54,2,1,1,1
51077,38,1,3,0,0
51078,35,1,4,0,0
51079,64,2,6,0,1
51080,40,2,13,2,0
51081,45,1,6,0,0
51082,29,2,2,1,0
51083,29,5,9,2,0
51084,84,5,18,2,3
51085,37,1,4,0,0
51086,77,7,22,5,2
51087,74,7,21,0,0
51088,68,1,4,0,0
51089,28,4,9,1,1
51090,47,7,4,1,0
51091,64,1,22,0,0
51092,13,2,2,0,0
51093,22,2,9,0,0
51094,48,2,3,0,0
51095,47,4,17,4,0
51096,23,2,6,0,0
51097,52,1,16,0,0
51098,50,4,4,0,0
51099,13,2,2,1,1
51100,53,1,16,0,0
51101,34,5,3,1,0
51102,48,1,4,1,0
51103,24,3,3,0,1
51104,15,2,8,1,0
51105,32,2,17,0,0
51106,37,9,13,3,1
51107,29,1,8,0,0
51108,29,3,6,0,0
51109,38,3,2,0,1
51110,43,4,17,2,0
51111,43,3,9,3,1
51112,10,2,5,2,0
51113,57,3,20,0,0
51114,37,3,3,2,0
51115,9,1,2,0,0
51116,57,12,9,0,0
51117,9,1,2,0,0
51118,9,1,2,0,0
51119,87,3,14,1,1
51120,29,3,2,1,0
51121,43,1,4,1,0
51122,9,1,2,0,0
51123,57,8,19,1,0
51124,24,3,7,1,1
51125,23,1,4,1,0
51126,49,1,3,0,0
51127,37,3,5,0,0
51128,88,2,15,1,0
51129,29,1,2,0,0
51130,21,2,3,1,0
51131,44,6,4,1,0
51132,41,3,6,2,0
51133,35,2,11,1,0
51134,59,7,11,1,0
51135,46,1,14,2,1
51136,30,1,10,0,0
51137,66,1,2,0,0
51138,59,3,5,0,1
51139,62,2,9,1,0
51140,41,5,30,3,0
51141,9,1,4,0,0
51142,23,4,7,1,0
51143,95,1,2,0,0
51144,9,1,4,0,0
51145,17,1,7,0,0
51146,33,3,18,1,0
51147,18,1,3,0,0
51148,18,2,3,0,0
51149,12,1,3,0,0
51150,31,1,6,1,0
51151,15,2,7,1,0
51152,16,2,3,0,0
51153,15,1,2,0,0
51154,15,2,5,0,0
51155,25,4,8,1,0
51156,17,2,2,0,1
51157,11,3,2,2,0
51158,30,4,7,0,0
51159,26,1,4,0,0
51160,17,2,3,0,0
51161,38,2,9,2,0
51162,15,1,6,0,0
51163,32,3,7,1,0
51164,12,1,3,0,0
51165,65,4,16,4,1
51166,42,6,5,1,3
51167,16,1,3,0,0
51168,37,2,21,1,1
51169,83,3,12,1,0
51170,30,1,2,0,0
51171,46,4,8,1,0
51172,57,1,5,0,0
51173,26,1,5,0,1
51174,50,4,8,0,0
51175,29,4,10,1,0
51176,26,2,5,1,1
51177,64,2,11,1,1
51178,23,4,10,3,0
51179,72,2,21,3,0
51180,34,1,11,0,0
51181,18,4,4,0,0
51182,23,2,11,1,1
51183,66,1,11,0,0
51184,31,9,5,2,0
51185,16,2,2,0,0
51186,41,4,6,0,0
51187,39,5,7,0,1
51188,8,1,2,0,0
51189,11,1,2,1,1
51190,9,1,3,0,0
51191,29,9,4,2,1
51192,56,3,15,3,1
51193,16,5,3,0,0
51194,18,3,3,0,0
51195,25,4,4,0,1
51196,40,2,2,1,2
51197,9,1,2,0,0
51198,25,2,4,0,0
51199,27,1,8,0,0
51200,34,2,10,2,0
51201,35,2,4,0,0
51202,40,1,12,1,1
51203,107,2,6,2,0
51204,67,4,3,1,0
51205,18,4,8,1,0
51206,42,3,2,0,1
51207,14,3,3,0,0
51208,23,1,5,1,0
51209,102,1,4,0,0
51210,16,1,2,0,1
51211,95,1,6,0,0
51212,47,7,18,2,1
51213,24,2,2,0,0
51214,31,10,3,0,2
51215,19,10,3,3,1
51216,25,3,3,1,0
51217,57,1,27,1,0
51218,17,3,6,1,0
51219,21,1,2,0,0
51220,18,4,3,1,0
51221,45,3,16,2,1
51222,53,7,37,2,1
51223,61,2,6,1,0
51224,25,2,4,0,0
51225,38,3,4,1,0
51226,29,2,8,2,0
51227,22,2,12,1,0
51228,60,1,5,0,0
51229,113,10,32,2,1
51230,43,4,8,1,0
51231,36,1,4,0,0
51232,48,6,6,1,0
51233,18,10,2,0,0
51234,42,1,6,0,0
51235,49,1,12,1,1
51236,25,2,3,2,0
51237,24,6,9,2,0
51238,31,4,3,0,0
51239,91,6,19,5,2
51240,105,8,21,6,0
51241,45,1,5,0,0
51242,15,4,6,0,0
51243,49,3,12,0,1
51244,9,1,2,0,0
51245,31,9,4,1,2
51246,13,2,5,0,0
51247,12,1,2,0,0
51248,81,2,11,1,0
51249,24,5,13,2,0
51250,16,1,6,0,0
51251,45,2,5,1,2
51252,6,1,3,0,0
51253,17,2,3,0,0
51254,14,1,7,0,0
51255,26,4,5,0,0
51256,55,2,11,1,0
51257,56,10,17,3,0
51258,20,1,8,1,0
51259,75,2,4,1,0
51260,57,1,2,0,0
51261,70,7,21,0,2
51262,45,1,5,0,0
51263,31,4,17,2,1
51264,21,1,8,2,0
51265,16,6,4,0,1
51266,43,3,10,2,0
51267,41,3,11,1,2
51268,39,1,8,0,0
51269,35,1,4,0,0
51270,55,3,5,1,1
51271,45,1,3,0,0
51272,58,3,11,1,0
51273,45,4,5,1,0
51274,33,5,2,0,1
51275,48,4,5,1,0
51276,87,2,6,0,0
51277,13,2,3,2,0
51278,38,1,3,1,0
51279,48,2,5,1,1
51280,35,2,2,0,1
51281,62,2,12,0,1
51282,43,3,8,0,1
51283,30,8,5,0,0
51284,59,4,21,1,1
51285,19,2,2,0,0
51286,21,3,3,0,0
51287,27,3,4,1,0
51288,30,1,6,0,0
51289,11,2,2,1,1
51290,61,12,4,4,2
51291,78,5,6,0,0
51292,53,2,12,3,0
51293,74,4,6,2,1
51294,66,3,5,0,0
51295,66,5,10,1,0
51296,31,3,9,3,2
51297,37,6,7,4,0
51298,25,7,5,0,1
51299,57,1,3,0,0
51300,38,3,3,0,0
51301,71,2,4,0,1
51302,66,10,7,0,1
51303,18,1,7,0,0
51304,12,1,3,0,0
51305,9,1,2,0,0
51306,73,2,19,1,1
51307,24,6,5,2,3
51308,78,3,11,2,2
51309,97,3,15,0,0
51310,29,2,2,0,0
51311,35,3,5,1,1
51312,82,4,4,0,0
51313,19,1,4,1,1
51314,53,5,4,2,1
51315,46,3,22,1,1
51316,83,6,15,1,1
51317,49,9,15,4,0
51318,73,3,14,0,0
51319,108,2,15,1,0
51320,95,3,5,0,1
51321,17,2,8,1,1
51322,41,1,3,0,0
51323,59,8,4,2,0
51324,20,2,4,2,1
51325,25,5,3,0,1
51326,10,2,2,0,0
51327,34,2,2,0,1
51328,44,3,17,1,2
51329,55,1,11,1,0
51330,29,2,11,1,0
51331,44,1,19,0,0
51332,53,2,7,1,0
51333,39,2,14,3,1
51334,35,6,2,1,1
51335,54,6,9,3,0
51336,14,3,4,0,0
51337,37,1,5,0,0
51338,45,2,11,1,1
51339,29,4,2,0,0
51340,28,2,3,1,1
51341,49,1,14,1,1
