count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
32000,24,1,6,0,0
32001,16,2,2,0,0
32002,97,3,5,2,0
32003,41,1,2,1,1
32004,47,2,15,0,0
32005,116,3,35,2,2
32006,23,2,6,1,1
32007,71,6,18,0,1
32008,33,8,8,2,0
32009,42,4,25,4,0
32010,39,2,9,2,0
32011,17,2,6,1,0
32012,23,2,1,0,1
32013,18,7,2,1,0
32014,45,6,1,0,1
32015,31,1,17,0,0
32016,29,2,9,1,0
32017,46,4,18,1,0
32018,45,5,4,0,2
32019,64,5,15,1,1
32020,15,1,5,0,0
32021,26,1,6,0,0
32022,22,1,4,1,0
32023,127,2,23,2,0
32024,9,4,3,1,0
32025,51,7,3,1,1
32026,38,11,8,1,1
32027,24,4,4,0,1
32028,50,5,9,0,1
32029,14,3,2,0,0
32030,20,2,2,0,0
32031,38,1,5,0,0
32032,44,1,8,0,0
32033,107,5,31,2,1
32034,47,5,3,0,0
32035,99,13,25,3,2
32036,55,17,10,1,1
32037,43,5,6,0,0
32038,80,3,18,0,0
32039,68,3,2,0,1
32040,17,1,7,0,0
32041,56,4,9,3,0
32042,18,1,3,0,0
32043,26,3,5,0,1
32044,18,4,10,1,0
32045,75,5,8,2,0
32046,60,4,9,2,1
32047,82,1,12,0,0
32048,54,2,25,2,0
32049,32,1,7,0,0
32050,28,4,8,0,2
32051,105,4,60,4,0
32052,45,1,10,0,1
32053,25,1,11,0,1
32054,38,1,2,0,0
32055,59,11,8,2,2
32056,29,1,8,0,0
32057,16,1,4,1,0
32058,33,3,11,1,1
32059,21,6,3,1,0
32060,116,1,4,0,0
32061,78,6,17,5,2
32062,29,2,4,1,0
32063,23,2,5,2,2
32064,96,1,28,0,0
32065,41,2,2,1,0
32066,26,1,3,0,1
32067,68,2,9,0,1
32068,69,5,5,1,1
32069,13,1,2,1,1
32070,63,4,5,0,1
32071,25,3,1,0,1
32072,29,1,3,1,1
32073,43,2,19,1,0
32074,24,5,3,0,0
32075,26,1,5,0,1
32076,40,1,5,1,1
32077,7,1,5,0,1
32078,27,11,3,2,1
32079,69,5,10,2,0
32080,55,1,14,0,0
32081,67,2,2,0,1
32082,31,1,18,1,0
32083,72,4,12,2,0
32084,28,9,1,2,1
32085,66,5,19,2,1
32086,103,5,3,0,0
32087,28,6,4,2,1
32088,32,3,5,0,0
32089,38,5,17,1,1
32090,52,1,21,2,2
32091,59,1,2,0,0
32092,17,1,12,1,2
32093,68,2,34,3,0
32094,73,1,4,1,0
32095,19,2,5,0,0
32096,28,4,4,1,1
32097,96,7,20,1,0
32098,17,1,3,0,1
32099,27,3,4,0,1
32100,27,2,2,0,0
32101,10,1,3,1,0
32102,33,4,8,1,0
32103,30,1,2,0,0
32104,27,1,4,1,0
32105,44,9,1,1,3
32106,18,4,10,1,0
32107,17,1,2,0,0
32108,136,2,10,1,1
32109,27,3,5,0,0
32110,63,5,27,3,1
32111,32,1,10,0,0
32112,57,3,7,0,0
32113,14,2,2,0,1
32114,27,2,2,0,0
32115,14,3,3,0,1
32116,26,2,6,1,0
32117,36,5,8,1,0
32118,101,3,3,0,1
32119,37,2,4,0,0
32120,43,1,3,0,0
32121,49,3,18,2,0
32122,13,2,2,0,0
32123,80,7,4,1,3
32124,34,1,3,0,0
32125,13,3,5,1,0
32126,42,9,10,2,1
32127,9,1,3,1,0
32128,9,1,5,0,0
32129,24,1,8,0,0
32130,21,2,4,2,0
32131,16,5,3,1,0
32132,45,3,9,1,0
32133,32,11,14,1,1
32134,23,2,5,0,1
32135,25,2,14,1,0
32136,23,1,7,0,0
32137,16,4,2,0,1
32138,9,1,2,0,0
32139,21,2,9,1,1
32140,22,2,5,2,0
32141,16,2,5,0,0
32142,12,1,2,1,0
32143,83,13,20,4,0
32144,45,1,3,0,0
32145,58,4,13,0,0
32146,41,1,8,0,1
32147,12,1,3,0,0
32148,36,6,11,1,0
32149,40,2,3,1,0
32150,58,2,7,0,0
32151,56,2,10,0,0
32152,16,1,4,0,0
32153,57,11,8,1,0
32154,26,3,9,0,0
32155,56,4,21,3,0
32156,41,2,16,0,1
32157,12,1,3,0,0
32158,56,2,16,1,0
32159,29,1,5,1,0
32160,115,6,13,3,1
32161,22,3,6,0,1
32162,9,1,3,0,0
