count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
5500,56,2,5,2,0
5501,11,1,4,1,0
5502,15,1,3,0,0
5503,3,2,1,0,1
5504,62,2,4,0,1
5505,15,4,2,1,1
5506,39,6,2,2,0
5507,34,5,8,0,0
5508,71,2,10,0,1
5509,30,2,4,0,0
5510,12,4,3,0,0
5511,25,1,6,0,0
5512,34,1,2,0,0
5513,59,13,6,3,1
5514,37,6,6,1,1
5515,32,1,2,0,0
5516,81,3,23,1,0
5517,30,4,4,1,1
5518,17,4,1,0,1
5519,26,1,5,1,0
5520,15,2,4,0,0
5521,29,1,3,0,0
5522,21,4,2,0,0
5523,78,7,5,2,0
5524,39,4,10,1,1
5525,67,2,10,1,0
5526,59,5,21,3,0
5527,50,1,2,0,0
5528,55,2,4,1,0
5529,93,4,12,0,1
5530,45,2,3,0,0
5531,74,2,10,2,1
5532,38,2,8,0,0
5533,21,4,10,2,0
5534,32,1,6,0,0
5535,50,5,6,2,0
5536,78,1,8,0,0
5537,17,1,2,0,0
5538,25,3,3,1,4
5539,36,2,6,0,0
5540,73,1,7,0,0
5541,19,4,3,1,2
5542,32,6,7,1,0
5543,24,1,3,0,0
5544,34,1,8,0,0
5545,32,2,6,2,1
5546,18,4,3,0,1
5547,17,8,3,2,1
5548,58,2,12,1,0
5549,72,5,5,0,0
5550,17,1,7,1,0
5551,21,2,11,1,0
5552,12,4,7,1,0
5553,9,1,2,0,0
5554,22,1,15,1,1
5555,31,4,8,0,0
5556,77,3,22,2,0
5557,9,1,4,0,0
5558,24,4,4,0,0
5559,25,2,3,0,0
5560,19,3,5,0,0
5561,39,1,3,2,2
5562,26,2,4,0,0
5563,22,1,2,0,1
5564,24,2,14,0,0
5565,36,8,7,4,4
5566,42,2,2,0,1
5567,11,1,2,1,0
5568,56,7,16,0,1
5569,11,3,6,0,0
5570,78,1,20,0,0
5571,102,6,5,0,2
5572,42,2,9,1,0
5573,76,1,3,0,0
5574,24,1,3,0,0
5575,30,1,6,0,0
5576,46,1,2,0,1
5577,29,2,7,0,0
5578,81,2,2,0,0
5579,63,6,12,2,0
5580,50,5,6,0,2
5581,45,4,6,1,0
5582,87,1,4,0,0
5583,16,1,2,0,0
5584,16,1,7,1,0
5585,20,4,4,1,0
5586,93,8,10,2,0
5587,37,2,3,1,1
5588,77,1,10,0,0
5589,72,2,15,2,1
5590,7,2,4,0,0
5591,25,1,2,0,0
5592,30,5,11,2,1
5593,27,1,9,1,1
5594,66,2,26,1,0
5595,15,2,3,0,0
5596,17,3,8,0,0
5597,36,1,17,2,0
5598,99,6,4,1,5
5599,32,1,9,0,0
5600,113,5,9,1,1
5601,43,1,2,0,0
5602,80,3,31,2,1
5603,22,4,7,0,0
5604,26,1,3,0,0
5605,55,1,4,0,0
5606,55,2,7,1,1
5607,43,3,9,0,1
5608,43,4,4,0,0
5609,9,1,3,0,0
5610,67,2,3,1,0
5611,62,1,2,0,0
5612,72,1,14,2,0
5613,40,2,5,0,0
5614,14,3,2,0,0
5615,19,1,5,1,0
5616,43,4,3,2,1
5617,44,5,0,0,3
5618,50,4,9,1,1
5619,40,1,6,0,1
5620,67,1,29,1,1
5621,8,1,2,0,0
5622,21,1,3,1,0
5623,90,1,2,0,0
5624,31,3,9,0,0
5625,80,4,2,0,1
5626,33,1,5,0,0
5627,52,1,5,0,0
5628,62,4,11,2,1
5629,28,3,7,0,1
5630,49,7,3,2,0
5631,49,2,9,0,0
5632,20,1,2,0,0
5633,58,10,9,2,1
5634,12,1,4,0,0
5635,44,4,1,0,1
5636,30,5,6,0,1
5637,24,2,3,2,0
5638,27,1,4,0,0
5639,16,2,7,2,2
5640,40,4,6,1,5
5641,25,7,6,3,2
5642,32,4,5,1,0
5643,8,1,6,0,0
5644,22,1,10,0,0
5645,75,3,10,5,3
5646,29,1,2,0,1
5647,12,3,3,0,1
5648,36,2,17,1,0
5649,44,2,5,0,1
5650,130,4,1,1,2
5651,21,1,2,1,0
5652,21,1,4,0,0
5653,28,1,5,2,1
5654,12,1,2,0,0
5655,43,4,3,2,3
5656,24,2,13,1,0
5657,44,5,3,0,1
5658,63,1,26,1,0
5659,48,2,11,0,0
5660,17,1,3,0,0
5661,45,1,8,0,0
5662,23,1,7,0,0
5663,32,1,3,0,0
5664,53,7,13,2,0
5665,49,5,2,0,0
5666,27,2,7,0,0
5667,36,3,1,1,1
5668,26,1,5,0,0
5669,28,5,13,2,0
5670,75,1,6,0,0
5671,55,4,1,1,1
5672,15,1,3,0,1
5673,9,4,3,1,0
5674,26,3,14,0,1
5675,48,2,3,0,0
5676,80,1,17,0,0
5677,56,4,3,0,0
5678,10,2,2,0,0
5679,40,1,2,0,0
5680,34,5,4,2,0
5681,35,1,6,0,0
5682,25,1,4,0,0
5683,43,2,4,0,0
5684,12,1,3,0,0
5685,46,2,2,0,1
5686,9,2,2,0,0
5687,64,6,3,1,2
5688,32,9,6,0,0
5689,14,6,2,1,0
5690,12,4,3,0,0
5691,12,1,2,0,0
5692,71,7,13,1,0
5693,43,2,3,1,0
5694,17,3,3,0,0
5695,30,2,6,1,0
5696,56,3,12,2,0
5697,35,1,2,0,0
5698,49,1,4,0,0
5699,18,1,5,0,0
5700,56,2,3,0,1
5701,32,2,8,4,1
5702,29,2,8,2,0
5703,11,2,2,0,1
5704,52,2,8,2,0
5705,27,4,2,3,6
5706,46,2,20,1,0
5707,28,1,3,0,0
5708,37,1,5,0,0
5709,29,2,4,0,2
5710,27,2,5,0,0
5711,49,2,3,0,0
5712,27,1,3,1,0
5713,50,5,11,0,0
5714,11,2,2,0,1
5715,52,1,8,0,0
5716,27,3,7,1,0
5717,58,3,14,1,0
5718,32,1,5,0,1
5719,33,1,2,0,0
5720,47,1,4,0,0
5721,81,2,8,1,0
5722,43,2,9,2,5
5723,33,3,5,1,1
5724,75,3,9,2,0
5725,43,1,3,0,0
5726,36,1,4,1,0
5727,36,2,13,1,0
5728,17,3,3,0,0
5729,15,1,3,0,0
5730,34,1,2,0,0
5731,28,1,2,0,1
5732,61,2,4,0,1
5733,45,7,9,1,0
5734,82,7,9,0,2
5735,50,1,2,0,0
5736,15,1,3,1,0
5737,9,4,2,0,0
5738,19,1,4,0,0
5739,25,3,3,0,0
