count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
45000,30,2,3,0,0
45001,56,2,7,2,0
45002,28,6,7,0,2
45003,47,2,8,1,0
45004,41,5,9,1,0
45005,15,1,6,0,0
45006,71,4,9,3,1
45007,68,13,10,1,0
45008,42,1,4,0,0
45009,77,1,27,2,1
45010,55,10,4,3,2
45011,48,8,2,3,1
45012,28,1,4,0,0
45013,56,4,10,0,1
45014,14,3,2,0,0
45015,56,5,20,1,0
45016,29,5,3,1,0
45017,29,8,2,1,4
45018,34,4,10,1,1
45019,133,18,34,3,1
45020,24,3,5,1,0
45021,122,2,33,2,0
45022,19,3,4,0,0
45023,15,1,3,0,0
45024,78,5,17,3,1
45025,60,2,1,0,1
45026,24,1,2,0,0
45027,81,8,15,2,0
45028,10,2,5,0,0
45029,30,3,12,0,0
45030,68,1,11,0,0
45031,10,2,2,0,0
45032,15,4,3,0,0
45033,18,7,6,1,0
45034,13,2,3,0,0
45035,37,1,2,0,0
45036,68,4,5,2,1
45037,80,6,32,5,2
45038,44,1,2,0,0
45039,56,5,3,0,1
45040,11,2,2,2,1
45041,22,1,13,0,0
45042,12,4,4,1,0
45043,15,1,3,0,0
45044,33,2,5,0,3
45045,49,2,2,0,1
45046,21,4,5,0,0
45047,122,4,3,2,0
45048,45,4,18,2,0
45049,27,2,2,0,0
45050,71,3,3,0,0
45051,44,6,15,2,2
45052,36,7,2,3,1
45053,77,7,3,4,1
45054,28,1,4,2,0
45055,24,2,2,0,0
45056,8,1,3,0,0
45057,21,5,6,1,0
45058,137,7,21,3,1
45059,94,10,21,6,4
45060,39,7,15,1,0
45061,58,11,9,2,0
45062,12,3,6,2,1
45063,62,6,19,3,2
45064,62,10,26,3,0
45065,16,2,3,0,0
45066,60,3,4,0,0
45067,23,2,3,0,0
45068,11,3,2,0,0
45069,28,5,5,1,0
45070,48,9,4,0,3
45071,67,1,23,2,1
45072,34,1,3,0,0
45073,16,1,3,0,0
45074,34,1,4,0,1
45075,39,1,11,2,0
45076,68,5,19,4,1
45077,73,5,10,2,0
45078,43,2,5,1,0
45079,16,2,2,0,0
45080,94,5,36,5,0
45081,33,2,11,0,0
45082,91,3,5,2,0
45083,32,1,3,1,1
45084,131,3,20,1,1
45085,47,2,7,2,3
45086,23,1,3,0,0
45087,29,5,4,0,1
45088,71,1,6,0,1
45089,14,1,3,0,0
45090,9,1,2,0,0
45091,31,4,2,0,0
45092,22,2,2,0,0
45093,82,6,4,1,0
45094,23,2,6,0,0
45095,32,3,2,0,0
45096,54,12,17,1,1
45097,33,4,8,0,0
45098,17,3,4,0,0
45099,29,2,6,2,0
45100,25,7,4,0,2
45101,39,7,7,2,0
45102,27,1,2,0,0
45103,15,1,2,0,0
45104,60,5,12,6,0
45105,42,10,10,1,0
45106,26,7,5,2,1
45107,26,1,2,0,0
45108,30,1,6,0,0
45109,40,1,4,0,0
45110,23,2,6,0,0
45111,68,3,1,0,1
45112,30,4,5,1,0
45113,6,1,2,0,0
45114,9,1,3,0,0
45115,46,1,12,1,0
45116,27,1,2,0,0
45117,43,1,4,0,0
45118,63,9,12,1,1
