count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
50500,19,4,8,2,1
50501,52,2,6,1,0
50502,37,3,5,0,0
50503,77,3,15,0,0
50504,117,2,12,1,0
50505,79,6,2,0,1
50506,45,3,1,0,1
50507,33,1,3,0,0
50508,26,2,4,2,1
50509,43,2,4,1,1
50510,106,8,23,0,3
50511,11,3,2,0,0
50512,36,4,13,2,1
50513,42,7,11,0,0
50514,20,4,3,0,0
50515,58,2,13,1,0
50516,55,3,6,0,0
50517,28,1,3,0,0
50518,47,2,10,0,0
50519,66,4,6,1,0
50520,15,1,3,1,0
50521,36,1,6,0,0
50522,22,4,4,1,1
50523,63,3,2,1,1
50524,53,1,10,2,1
50525,12,1,2,0,0
50526,27,1,6,0,0
50527,40,1,12,1,0
50528,39,1,10,0,0
50529,44,1,3,0,0
50530,25,2,2,0,0
50531,61,2,6,0,1
50532,17,6,3,0,0
50533,16,1,6,0,0
50534,26,1,9,0,0
50535,28,2,9,0,1
50536,8,1,5,1,0
50537,86,1,8,1,0
50538,30,3,2,0,0
50539,15,1,3,0,0
50540,15,3,3,0,1
50541,15,3,3,0,1
50542,40,2,3,0,0
50543,23,1,10,0,0
50544,23,3,3,2,1
50545,56,4,2,1,1
50546,54,2,3,0,1
50547,28,1,4,0,0
50548,138,12,43,5,1
50549,57,12,3,1,0
50550,16,2,5,0,0
50551,31,2,10,0,0
50552,44,4,6,1,1
50553,28,5,6,0,0
50554,32,4,2,0,2
50555,74,1,7,0,1
50556,20,2,4,1,0
50557,42,3,11,1,0
50558,63,1,8,1,1
50559,53,3,2,2,1
50560,39,1,2,0,0
50561,16,2,3,1,0
50562,99,12,39,6,0
50563,36,2,11,1,0
50564,44,2,8,1,0
50565,45,1,8,0,0
50566,17,1,2,0,1
50567,86,1,8,1,0
50568,91,1,6,0,0
50569,30,3,10,1,2
50570,42,5,16,1,2
50571,55,1,2,0,0
50572,34,1,6,1,0
50573,48,1,7,1,0
50574,69,2,7,0,0
50575,41,3,7,0,0
50576,46,1,9,1,0
50577,51,3,20,2,1
50578,55,2,7,0,0
50579,12,1,2,0,0
