count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
44000,40,1,2,0,0
44001,69,8,11,1,1
44002,13,1,2,1,1
44003,42,7,14,3,0
44004,15,1,4,0,0
44005,71,5,7,2,1
44006,67,6,2,1,0
44007,66,2,3,2,0
44008,41,2,10,1,1
44009,86,4,6,2,0
44010,9,1,4,0,0
44011,24,2,3,1,1
44012,44,17,7,2,0
44013,17,5,5,1,0
44014,30,1,2,0,0
44015,24,2,10,1,0
44016,58,2,12,2,0
44017,60,3,8,0,1
44018,20,1,8,0,2
44019,25,4,7,0,0
44020,43,5,3,0,2
44021,49,3,4,0,1
44022,16,1,2,0,0
44023,31,1,3,0,1
44024,52,2,4,0,1
44025,11,3,3,0,0
44026,79,9,8,0,0
44027,19,1,9,1,1
44028,31,4,13,3,0
44029,35,2,1,0,1
44030,36,3,13,1,0
44031,68,8,30,4,0
44032,68,4,9,2,0
44033,51,4,8,1,0
44034,43,4,7,1,0
44035,86,3,6,0,0
44036,109,3,9,2,1
44037,93,2,8,1,0
44038,31,2,6,1,0
44039,49,3,6,1,0
44040,28,1,2,0,0
44041,23,1,3,1,0
44042,34,3,9,2,0
44043,8,3,2,0,0
44044,33,1,5,1,0
44045,43,2,3,0,1
44046,38,3,7,2,0
44047,9,1,2,0,0
44048,55,3,7,1,1
44049,23,1,4,0,1
44050,45,1,3,0,0
44051,39,1,9,0,0
44052,26,1,9,0,0
44053,11,2,3,0,0
44054,38,3,14,1,0
44055,33,2,2,0,1
44056,59,7,15,1,1
44057,21,3,4,0,0
44058,35,1,11,0,1
44059,100,8,13,4,0
44060,15,1,4,0,0
44061,66,1,4,0,0
44062,11,3,3,0,0
44063,19,7,4,0,1
44064,30,8,11,2,1
44065,43,5,25,2,2
44066,20,1,6,0,1
44067,35,5,2,0,2
44068,32,8,4,1,2
44069,11,3,2,0,0
44070,68,8,13,1,0
44071,13,2,5,0,0
44072,23,1,2,0,0
44073,18,1,2,0,0
44074,38,1,5,0,0
44075,13,1,6,0,0
44076,43,2,2,1,2
44077,81,1,3,0,0
44078,26,7,6,2,0
44079,22,5,5,1,0
44080,49,2,8,0,0
44081,51,6,8,1,0
44082,14,1,4,1,0
44083,15,1,2,0,0
44084,40,3,4,1,0
44085,21,2,3,1,0
44086,10,2,5,0,0
44087,41,1,3,0,0
44088,64,2,5,0,0
44089,40,8,11,0,1
44090,23,1,5,0,0
44091,11,3,4,0,1
44092,66,3,12,2,1
44093,33,2,15,0,0
44094,21,1,7,0,0
44095,32,3,15,1,0
44096,20,4,5,1,0
44097,56,8,11,2,0
44098,15,2,6,1,1
44099,46,3,14,1,0
44100,90,8,48,5,0
44101,61,10,16,2,0
44102,31,1,4,0,0
44103,25,6,5,1,2
44104,36,2,5,1,0
44105,103,7,10,1,0
44106,43,4,11,1,1
44107,32,1,3,0,0
44108,29,2,3,0,0
44109,69,4,7,1,0
44110,80,4,8,1,0
44111,12,1,7,0,0
44112,22,4,4,0,0
44113,26,1,9,1,0
44114,103,2,14,0,1
44115,27,3,7,1,0
44116,30,6,4,1,0
44117,34,2,4,0,0
