count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
28000,27,5,8,0,0
28001,30,1,3,0,0
28002,52,2,21,1,1
28003,18,2,11,0,0
28004,18,3,3,0,1
28005,117,5,43,4,1
28006,89,3,9,0,0
28007,14,3,3,0,0
28008,48,1,7,0,1
28009,50,1,5,0,0
28010,65,4,15,2,0
28011,19,1,4,1,0
28012,32,2,3,1,1
28013,32,2,2,0,0
28014,21,2,3,0,0
28015,71,3,25,1,1
28016,84,1,5,1,0
28017,36,1,3,0,0
28018,33,1,2,2,0
28019,45,3,9,0,0
28020,21,1,3,0,0
28021,104,3,3,0,0
28022,46,1,3,0,0
28023,35,4,13,1,0
28024,22,6,2,0,1
28025,15,1,3,0,0
28026,48,4,18,0,0
28027,28,6,15,0,0
28028,24,6,7,2,0
28029,49,1,5,0,0
28030,29,1,4,1,0
28031,50,4,6,1,0
28032,40,6,9,0,0
28033,44,5,14,1,0
28034,70,2,6,0,1
28035,18,1,2,0,0
28036,15,1,2,0,0
28037,38,4,3,2,1
28038,17,3,2,1,0
28039,92,3,27,2,0
28040,40,1,5,1,0
28041,30,1,5,0,0
28042,19,2,9,1,0
28043,17,1,3,1,1
28044,56,4,19,3,0
28045,18,3,5,2,0
28046,19,2,7,0,0
28047,15,3,5,0,1
28048,40,5,3,0,1
28049,45,9,12,1,1
28050,41,1,4,0,0
28051,75,6,11,2,1
28052,44,1,5,0,0
28053,28,1,6,0,0
28054,38,3,15,1,0
28055,24,11,9,1,2
28056,49,4,18,3,0
28057,32,1,2,1,0
28058,51,5,2,0,1
28059,69,1,5,0,0
28060,37,2,2,1,1
28061,28,3,10,0,0
28062,48,18,6,3,3
28063,33,3,8,0,1
28064,15,1,2,0,0
28065,46,1,2,0,0
28066,18,1,3,0,0
28067,10,3,3,0,0
28068,32,2,4,1,1
28069,18,3,9,1,1
28070,27,1,3,0,0
28071,24,1,4,0,0
28072,61,3,7,1,0
28073,12,3,2,0,2
28074,16,2,2,1,2
28075,13,2,2,0,0
28076,34,7,9,0,0
28077,45,4,3,1,1
28078,22,3,2,1,0
28079,15,1,4,0,0
28080,96,2,3,2,0
28081,27,13,3,0,0
28082,25,1,3,0,0
28083,95,2,17,1,1
28084,25,1,7,0,0
28085,45,5,15,1,0
28086,71,4,20,1,0
28087,63,1,5,0,0
28088,29,1,2,0,0
28089,31,9,5,1,0
28090,18,2,4,1,1
28091,76,1,4,0,0
28092,46,1,2,0,0
28093,12,1,3,0,0
28094,58,1,10,2,1
28095,33,1,2,0,0
28096,78,2,3,0,1
28097,29,4,4,0,1
28098,26,2,9,1,0
28099,15,1,3,0,0
28100,31,2,2,0,2
28101,36,1,10,2,0
28102,42,1,2,0,0
28103,48,5,4,0,0
