count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
35000,18,1,7,0,0
35001,44,4,2,0,1
35002,118,3,9,1,0
35003,20,3,6,1,1
35004,12,1,3,0,0
35005,17,2,3,0,1
35006,22,6,4,2,0
35007,9,1,5,0,0
35008,31,2,9,0,0
35009,23,7,2,0,2
35010,23,2,10,0,0
35011,58,3,19,5,0
35012,87,1,7,0,0
35013,46,6,20,4,4
35014,65,1,23,2,0
35015,34,1,3,0,0
35016,47,8,6,4,1
35017,43,6,9,1,0
35018,86,1,5,0,0
35019,22,1,6,0,0
35020,87,5,13,1,2
35021,41,5,8,2,1
35022,10,1,7,0,1
35023,81,1,13,3,0
35024,9,1,3,0,0
35025,18,4,3,1,0
35026,109,3,22,2,2
35027,54,5,4,1,0
35028,17,5,4,0,1
35029,15,1,2,0,0
35030,29,5,6,1,0
35031,39,2,15,1,0
35032,18,1,6,0,0
35033,42,3,9,0,0
35034,18,1,4,0,0
35035,52,6,6,1,1
35036,51,3,4,1,1
35037,84,6,35,3,1
35038,85,8,8,1,0
35039,38,3,4,1,1
35040,51,1,15,1,1
35041,12,1,3,0,0
35042,41,8,3,2,1
35043,12,1,3,0,0
35044,21,1,4,0,0
35045,31,2,1,2,2
35046,38,2,2,0,0
35047,9,1,2,0,0
35048,52,1,11,0,0
35049,6,1,3,0,0
35050,13,2,6,2,0
35051,23,3,10,0,0
35052,18,1,3,0,0
35053,9,1,3,1,0
35054,27,1,3,0,0
35055,15,2,3,2,1
35056,42,6,4,0,3
35057,26,3,2,1,1
35058,48,1,6,1,0
35059,37,4,10,1,1
35060,18,1,7,0,0
35061,80,6,9,2,2
35062,71,1,12,1,0
35063,12,1,7,0,0
35064,58,1,14,0,1
35065,34,4,7,0,0
35066,41,1,26,1,0
35067,78,1,2,0,0
35068,30,2,2,0,0
35069,65,1,4,0,0
35070,67,1,7,0,0
35071,99,8,22,2,1
35072,27,1,6,0,0
35073,60,1,5,0,0
35074,26,1,3,0,0
35075,37,2,3,0,1
35076,51,3,13,1,0
35077,42,1,4,1,0
35078,26,2,4,1,0
35079,23,3,10,0,0
35080,16,2,2,0,0
35081,86,4,6,2,0
35082,9,1,2,0,0
35083,40,3,3,1,0
35084,37,1,3,1,0
35085,124,2,17,3,0
35086,17,2,2,0,0
35087,19,5,8,1,0
35088,9,1,3,0,0
35089,16,3,3,0,0
35090,31,4,8,4,0
35091,12,4,5,0,0
35092,104,2,4,0,0
35093,41,1,6,0,0
35094,44,2,21,2,0
35095,51,2,8,0,1
35096,30,4,2,1,2
35097,33,1,3,0,0
35098,42,3,14,2,0
35099,45,1,5,1,0
35100,4,2,1,0,2
35101,26,3,3,0,0
35102,10,1,3,0,0
35103,39,5,7,1,0
35104,39,5,8,2,1
35105,36,5,13,2,1
35106,36,1,4,0,0
35107,27,2,3,0,1
35108,54,4,9,2,1
35109,40,1,4,1,0
35110,18,3,5,1,0
35111,91,2,11,0,0
35112,87,4,18,2,0
35113,105,11,51,7,0
35114,16,2,6,0,0
35115,48,3,2,1,2
35116,47,5,23,1,2
35117,69,4,35,1,2
35118,60,2,12,1,0
35119,80,3,13,1,1
35120,55,4,16,0,0
35121,46,9,3,1,0
35122,9,1,8,0,0
35123,20,4,5,1,1
35124,59,6,6,2,0
35125,52,1,19,2,1
35126,12,4,2,0,0
35127,51,1,5,0,0
35128,17,7,5,0,2
35129,48,6,7,2,0
35130,39,4,8,2,0
35131,13,2,1,0,1
35132,41,2,3,1,1
35133,17,1,3,0,0
35134,36,2,10,1,1
35135,37,2,3,1,0
35136,142,6,7,1,2
35137,46,4,21,1,0
35138,18,1,3,0,0
35139,35,2,13,2,0
35140,33,5,3,1,1
35141,40,2,6,3,2
35142,30,4,9,1,2
35143,15,4,5,0,0
35144,29,3,4,1,0
35145,19,5,9,1,0
35146,33,1,3,0,0
35147,20,2,2,0,0
35148,57,2,4,0,0
35149,31,3,5,1,1
35150,15,2,5,0,1
35151,27,1,7,0,0
35152,9,1,4,0,0
35153,19,4,4,0,0
35154,40,2,9,0,0
35155,10,2,2,0,0
35156,26,1,4,0,0
35157,10,1,6,1,1
35158,26,1,3,0,0
35159,16,3,5,0,2
35160,59,16,10,4,0
35161,35,4,3,1,0
35162,16,1,3,0,0
35163,52,2,2,0,1
35164,66,2,8,0,1
35165,15,1,3,0,0
35166,56,7,9,1,0
35167,21,1,13,0,0
35168,52,1,5,0,0
35169,12,1,2,0,0
35170,8,1,5,0,0
35171,59,6,24,2,2
35172,19,1,3,1,0
35173,15,1,4,0,0
35174,37,2,15,0,0
35175,28,3,8,1,0
