count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
30000,28,1,6,0,0
30001,113,4,33,0,0
30002,37,8,10,2,1
30003,34,1,5,0,0
30004,13,4,4,0,1
30005,18,3,8,2,2
30006,34,3,4,1,1
30007,48,1,6,0,0
30008,11,3,2,0,0
30009,46,1,3,0,0
30010,26,2,1,0,1
30011,46,5,17,1,0
30012,42,7,4,1,0
30013,11,3,6,0,0
30014,12,1,2,0,0
30015,41,1,7,0,0
30016,84,6,13,3,0
30017,51,4,14,0,0
30018,124,1,12,1,0
30019,64,2,3,0,0
30020,19,1,2,0,0
30021,67,1,2,0,0
30022,85,2,18,2,0
30023,23,2,2,0,0
30024,15,1,6,0,0
30025,20,5,3,0,0
30026,24,1,2,0,0
30027,26,1,7,0,0
30028,16,3,4,2,0
30029,48,3,7,2,4
30030,60,4,4,2,0
30031,62,6,3,0,2
30032,22,1,6,0,0
30033,17,3,4,1,0
30034,29,2,4,2,0
30035,24,1,6,0,0
30036,33,3,4,0,0
30037,83,1,4,0,0
30038,35,1,5,1,1
30039,109,2,7,0,0
30040,21,2,6,0,0
30041,19,2,4,0,0
30042,47,2,5,1,0
30043,28,2,5,1,0
30044,79,9,12,2,0
30045,41,3,9,1,1
30046,25,1,13,1,1
30047,32,2,4,0,0
30048,24,1,2,0,0
30049,9,1,2,0,0
30050,71,7,8,0,2
30051,31,3,8,0,0
30052,42,4,2,1,0
30053,36,1,4,1,0
30054,38,6,6,0,0
30055,11,3,2,0,0
30056,29,1,2,0,0
30057,44,3,15,1,0
30058,26,2,2,0,1
30059,40,6,12,3,2
30060,12,1,2,0,0
30061,15,1,2,0,0
30062,16,1,4,0,0
30063,23,2,11,0,0
30064,13,1,3,0,1
30065,24,1,7,1,1
30066,29,3,14,4,1
30067,40,2,10,2,0
30068,67,1,25,2,0
30069,38,2,6,1,0
30070,27,1,3,0,0
30071,45,9,5,1,1
30072,31,2,15,2,0
30073,14,2,5,0,1
30074,19,1,10,0,0
30075,12,1,2,0,0
30076,49,1,2,0,0
30077,12,4,4,1,1
30078,52,2,7,1,0
30079,50,2,15,3,1
30080,82,8,22,4,1
30081,34,2,8,0,1
30082,29,1,3,0,0
30083,40,3,3,0,0
30084,101,8,24,0,0
30085,19,1,9,0,0
30086,23,5,5,2,0
30087,24,13,5,1,2
30088,38,1,16,0,1
30089,97,8,20,3,1
30090,42,2,4,1,0
30091,65,6,9,3,1
30092,63,1,6,0,0
30093,33,6,4,0,0
30094,50,1,3,0,0
30095,20,2,4,1,0
30096,41,10,6,3,2
30097,33,1,3,0,0
30098,15,4,2,0,0
30099,36,3,11,0,0
30100,44,2,7,0,0
30101,29,4,6,2,0
30102,48,1,12,0,0
30103,57,6,31,4,3
30104,12,1,9,0,0
30105,15,1,5,0,0
30106,41,6,4,0,1
30107,53,3,8,1,1
30108,44,1,4,0,0
30109,34,6,4,0,0
30110,12,1,2,1,0
30111,45,1,3,0,0
30112,29,3,12,0,0
30113,73,1,5,0,0
30114,51,4,2,1,0
30115,26,4,1,0,1
30116,12,1,5,3,0
30117,49,6,12,2,1
30118,27,2,3,0,1
30119,22,3,6,1,0
30120,35,2,3,2,1
30121,16,2,5,0,0
30122,12,4,2,0,0
30123,15,4,4,1,0
30124,16,1,6,0,1
30125,34,2,4,1,2
30126,22,4,6,1,0
30127,34,3,3,1,0
30128,37,3,4,0,1
30129,27,2,5,0,0
30130,39,7,5,0,1
30131,11,2,4,1,1
30132,33,4,5,1,0
30133,31,2,16,2,3
30134,18,2,5,0,1
30135,30,5,9,0,1
30136,28,2,8,1,0
30137,34,2,4,0,0
30138,49,4,16,1,1
30139,55,8,10,4,1
30140,48,2,7,2,0
30141,13,4,4,1,1
30142,53,2,15,1,1
30143,47,3,4,1,0
30144,10,2,3,0,0
30145,18,1,2,1,0
30146,56,2,2,0,1
30147,39,3,4,0,1
30148,51,4,25,3,2
30149,47,7,3,1,1
30150,83,7,12,4,5
30151,47,7,3,1,3
30152,33,5,5,0,2
30153,39,1,4,0,0
30154,32,1,3,0,0
30155,40,2,7,2,1
30156,27,1,5,0,0
30157,39,2,17,1,0
30158,88,5,18,0,1
30159,41,3,7,1,0
30160,133,4,25,3,2
30161,27,1,5,0,0
30162,39,3,2,0,0
30163,86,2,13,1,1
30164,40,1,2,0,0
30165,20,1,2,0,0
30166,63,3,3,0,0
30167,27,1,6,0,0
30168,17,2,3,0,1
30169,25,4,8,2,0
30170,21,1,11,1,0
30171,59,4,15,2,0
30172,49,1,7,2,0
30173,49,4,3,3,3
30174,9,4,2,0,0
30175,50,1,6,2,2
30176,16,1,2,0,0
30177,26,2,3,0,0
30178,51,1,8,0,0
30179,44,7,5,4,2
30180,99,5,15,0,1
30181,68,2,10,0,0
30182,10,1,4,0,1
30183,33,5,6,1,0
30184,13,2,4,2,0
30185,23,3,2,0,0
30186,28,2,3,0,0
30187,23,1,2,0,0
30188,16,2,2,0,0
30189,25,4,11,1,1
30190,12,1,3,0,0
30191,26,2,11,2,0
30192,33,2,6,1,0
30193,59,1,9,0,0
30194,25,5,4,0,0
30195,17,3,8,0,0
30196,12,1,3,0,0
30197,21,2,1,0,1
30198,32,1,12,0,0
30199,38,4,14,2,0
30200,59,3,8,1,0
30201,43,1,12,0,0
30202,39,6,6,1,1
30203,37,6,4,0,0
30204,30,3,10,1,0
30205,20,1,5,1,0
30206,76,8,19,4,1
30207,19,1,3,0,0
30208,64,1,10,1,1
30209,54,1,7,1,0
30210,23,1,4,0,0
30211,132,10,13,5,2
30212,37,3,11,1,0
30213,101,2,3,0,1
30214,56,1,11,1,0
30215,24,5,1,0,1
30216,12,1,2,0,0
30217,71,1,25,2,0
30218,63,2,5,1,0
30219,21,2,6,1,0
30220,89,7,13,3,3
30221,40,7,9,1,0
30222,53,2,5,0,0
30223,74,2,10,1,1
30224,109,3,9,0,0
30225,31,4,3,0,0
30226,147,2,5,0,0
30227,31,6,5,0,2
30228,53,1,4,0,0
30229,9,1,3,0,0
30230,21,1,5,0,0
30231,53,1,5,0,0
30232,25,5,6,1,0
30233,43,1,14,2,1
30234,34,3,4,0,1
30235,31,2,10,0,0
30236,37,1,7,0,0
30237,23,2,7,0,0
30238,32,1,6,0,0
30239,35,1,6,0,0
30240,24,2,2,1,0
30241,93,11,15,0,1
30242,47,4,2,1,0
30243,41,4,3,1,1
30244,19,2,3,1,0
30245,23,1,2,0,0
30246,32,3,1,0,1
30247,20,5,2,1,2
30248,57,10,19,4,0
30249,73,12,6,1,0
30250,12,1,4,1,0
30251,37,1,5,0,0
30252,22,1,3,0,0
30253,15,1,5,1,0
30254,127,8,41,3,0
30255,29,1,2,0,0
30256,26,5,5,1,0
30257,16,4,4,0,1
30258,24,2,1,1,1
30259,34,6,14,1,0
30260,15,1,3,0,0
30261,23,4,3,0,1
30262,16,2,3,1,0
30263,29,2,3,0,0
30264,43,5,10,1,0
30265,13,2,3,0,0
30266,28,4,4,2,0
30267,25,1,6,0,0
30268,45,2,5,1,1
30269,39,3,7,1,0
30270,9,1,3,0,0
30271,10,2,3,0,0
30272,39,11,7,0,0
30273,71,2,28,2,0
30274,35,7,3,1,1
30275,27,2,3,0,1
30276,31,9,5,2,0
30277,23,1,6,1,0
30278,57,2,5,0,0
30279,36,1,3,0,0
30280,27,1,4,1,0
30281,33,1,6,0,0
30282,11,2,2,0,0
30283,45,1,17,1,0
30284,22,2,5,1,0
30285,44,1,10,0,0
30286,36,3,6,0,1
30287,53,1,5,0,0
30288,21,1,5,0,0
30289,29,3,5,0,0
30290,46,5,17,1,0
30291,14,1,8,1,0
30292,26,2,13,0,0
30293,38,5,3,0,0
30294,20,4,5,0,0
30295,62,6,2,0,0
30296,35,1,2,0,0
30297,13,2,5,0,0
30298,31,1,10,0,0
30299,49,12,9,0,0
30300,15,2,4,0,0
30301,48,6,11,2,0
30302,44,5,8,1,1
30303,30,3,7,3,1
30304,36,1,3,0,0
30305,30,2,6,0,0
30306,59,2,17,0,0
30307,31,5,5,0,0
30308,41,14,13,3,0
30309,45,3,20,1,0
30310,23,1,4,1,0
30311,32,1,9,0,0
30312,8,1,5,0,0
30313,73,8,15,4,2
30314,85,7,23,1,0
30315,60,2,5,0,0
30316,57,4,9,1,0
30317,28,1,4,0,0
30318,13,2,3,1,0
30319,104,7,13,3,2
30320,38,2,4,0,1
30321,71,4,14,1,0
30322,57,4,10,0,1
30323,18,3,5,0,0
30324,36,6,7,0,0
30325,15,1,6,0,0
30326,50,2,13,0,0
30327,21,2,3,0,0
30328,38,2,2,1,0
30329,80,4,6,3,1
30330,55,8,12,1,0
30331,73,1,2,0,0
30332,86,1,8,1,0
30333,55,2,2,1,1
30334,50,5,3,2,3
30335,34,13,4,2,7
30336,10,1,3,1,1
30337,117,1,18,0,0
30338,12,4,2,0,0
30339,20,3,6,1,0
30340,59,1,5,1,0
30341,68,2,5,0,0
30342,46,4,8,1,0
30343,16,8,6,1,0
30344,31,3,7,1,0
30345,103,7,22,1,0
30346,20,3,3,0,0
30347,24,8,8,0,0
30348,27,4,5,0,1
30349,23,3,7,0,0
30350,68,3,2,0,0
30351,11,2,6,0,1
30352,43,4,5,2,0
30353,29,1,5,0,0
30354,32,2,5,1,0
