count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
46500,64,2,5,0,0
46501,13,2,4,1,0
46502,38,5,13,1,1
46503,46,2,5,1,0
46504,37,1,10,3,0
46505,13,2,3,0,0
46506,24,3,7,0,0
46507,25,10,4,1,0
46508,36,7,3,0,0
46509,72,1,17,0,0
46510,15,1,3,0,0
46511,13,2,4,1,1
46512,34,1,3,0,0
46513,14,3,5,0,0
46514,43,2,4,1,1
46515,32,1,2,0,0
46516,42,6,3,0,0
46517,24,2,5,2,0
46518,96,6,12,3,0
46519,31,6,13,1,0
46520,49,1,4,0,0
46521,41,1,19,1,0
46522,71,3,17,1,0
46523,44,1,8,1,0
46524,66,2,5,3,1
46525,38,2,2,1,0
46526,12,1,4,0,0
46527,23,1,6,0,0
46528,22,2,1,0,1
46529,67,7,22,2,0
46530,31,1,11,0,0
46531,11,3,2,0,0
46532,27,3,8,2,2
46533,37,7,3,1,0
46534,21,1,2,0,0
46535,41,1,2,0,0
46536,18,1,2,0,0
46537,15,4,2,0,0
46538,34,1,7,1,0
46539,16,1,2,0,0
46540,38,1,8,1,0
46541,36,3,10,3,0
46542,33,2,1,1,1
46543,37,1,9,1,1
46544,19,8,2,0,0
46545,11,3,2,0,0
46546,24,2,5,0,0
46547,69,1,3,0,0
46548,21,1,3,0,0
46549,62,3,22,4,0
46550,21,1,3,0,0
46551,68,2,17,3,1
46552,57,3,18,1,0
46553,29,3,6,0,0
46554,37,3,6,0,0
46555,20,1,3,0,0
46556,36,1,2,0,0
46557,60,1,4,0,0
46558,34,6,4,1,0
46559,49,2,16,0,0
46560,20,1,3,0,0
46561,17,2,5,1,0
46562,12,1,2,0,0
46563,35,1,4,0,0
46564,49,1,13,3,1
46565,19,1,7,0,1
46566,68,1,4,0,1
46567,38,3,4,2,5
46568,13,1,8,0,1
46569,13,1,5,0,1
46570,49,2,3,0,1
46571,39,3,2,0,2
46572,26,10,9,1,0
46573,24,4,7,1,1
46574,33,4,7,1,0
46575,39,1,11,0,0
46576,16,1,2,0,0
46577,50,2,8,2,0
46578,15,1,3,0,0
46579,39,2,13,3,0
46580,38,5,10,1,1
46581,31,3,2,0,0
46582,51,5,3,1,0
46583,21,2,6,0,0
46584,44,2,2,0,0
46585,69,1,5,1,0
46586,18,1,2,0,0
46587,29,2,4,1,0
46588,13,2,7,0,0
46589,50,11,7,2,1
46590,32,2,4,1,4
46591,64,11,16,2,4
46592,54,7,11,3,0
46593,31,6,7,2,0
46594,73,9,9,3,1
46595,44,1,7,1,0
46596,15,1,2,0,0
46597,9,1,4,0,0
46598,38,5,9,0,0
46599,26,4,5,0,0
46600,18,1,4,0,0
46601,60,2,11,0,1
46602,30,2,8,1,1
46603,58,1,2,0,0
46604,14,3,2,0,0
46605,35,8,10,3,2
46606,22,1,3,0,0
46607,28,1,2,0,0
46608,78,3,8,2,1
46609,18,2,3,1,1
46610,41,4,7,2,1
46611,33,3,2,0,3
46612,38,3,2,0,0
46613,32,6,5,3,2
46614,38,3,4,0,0
46615,19,2,6,1,0
46616,12,1,2,0,0
46617,43,4,7,2,0
46618,98,1,5,0,0
46619,9,1,2,0,0
46620,27,1,2,0,0
46621,9,1,2,0,0
46622,49,4,3,0,0
46623,122,1,3,1,0
46624,28,1,3,1,0
46625,87,16,32,7,4
46626,67,4,4,1,0
46627,36,2,5,2,0
46628,66,5,28,4,0
46629,30,3,1,2,1
46630,62,2,9,1,0
46631,65,3,10,1,0
46632,30,1,2,0,0
46633,69,6,29,2,0
46634,33,1,7,0,0
46635,28,3,6,3,2
46636,24,1,3,1,1
46637,22,3,3,0,0
46638,13,2,5,0,0
46639,38,1,8,1,0
46640,66,1,19,2,1
46641,50,7,7,0,1
46642,110,5,7,3,0
46643,28,2,4,1,0
46644,61,3,35,4,0
46645,77,3,14,0,1
46646,32,1,5,0,0
46647,43,1,5,0,1
46648,43,1,4,0,0
46649,65,6,11,3,2
46650,45,1,6,0,0
46651,18,4,3,3,0
46652,9,1,2,0,0
46653,36,2,6,1,0
46654,42,1,9,1,0
46655,46,1,7,0,0
46656,61,10,5,1,0
46657,67,1,13,0,0
46658,107,5,26,4,0
46659,28,2,10,1,0
46660,63,7,13,2,0
46661,81,1,5,0,0
46662,48,3,2,0,0
46663,101,1,8,1,0
46664,49,6,7,1,1
46665,26,5,6,3,1
46666,40,2,4,2,1
46667,31,5,7,1,0
46668,31,6,3,1,1
46669,87,1,3,0,0
46670,35,2,18,3,0
46671,46,3,10,2,0
46672,18,4,4,0,0
46673,91,10,12,3,2
46674,16,2,3,0,0
46675,16,1,5,0,0
46676,19,2,1,0,1
46677,13,2,3,2,0
46678,25,3,5,3,2
46679,31,3,5,1,0
46680,95,10,13,3,0
46681,40,1,2,0,0
46682,45,8,12,1,1
46683,26,2,14,2,1
46684,20,1,4,0,0
46685,12,1,2,0,0
46686,12,1,4,0,0
46687,12,1,7,0,0
46688,24,3,4,1,0
46689,26,1,4,0,0
46690,23,4,3,0,0
46691,38,2,6,1,0
46692,76,1,6,0,0
46693,19,1,3,0,0
46694,24,2,4,0,0
46695,52,2,9,1,1
46696,49,6,8,0,1
46697,42,1,9,2,0
46698,16,2,4,0,0
46699,81,5,15,4,3
46700,63,3,13,0,0
46701,18,1,6,0,0
46702,71,3,6,2,1
46703,18,1,5,0,0
46704,51,2,3,0,0
46705,35,1,6,0,0
46706,55,7,8,0,0
46707,34,1,11,0,0
46708,27,2,5,0,0
46709,33,2,7,0,0
46710,9,1,2,0,0
46711,64,4,14,0,0
46712,13,2,5,0,0
46713,32,4,16,3,1
46714,55,1,6,0,0
46715,72,14,10,2,2
46716,29,4,7,0,0
46717,19,2,5,0,0
46718,16,2,2,0,0
46719,63,2,21,3,0
46720,69,2,14,1,0
46721,21,1,4,0,0
46722,16,2,5,0,0
46723,134,4,13,1,0
46724,15,1,4,0,0
46725,91,1,10,1,0
46726,37,4,4,0,1
46727,30,2,3,0,0
46728,32,4,2,1,1
46729,22,2,7,0,0
46730,27,4,1,0,1
46731,37,1,2,0,0
46732,28,6,7,2,0
46733,40,3,21,0,0
46734,61,1,5,0,0
46735,18,1,2,0,0
46736,48,2,6,1,2
46737,30,2,5,1,0
46738,41,1,4,1,0
46739,37,2,6,1,0
46740,64,2,8,2,0
46741,21,1,8,0,0
46742,36,1,3,0,1
46743,90,5,30,5,2
46744,41,1,2,0,0
46745,16,5,3,2,0
46746,35,4,2,1,3
46747,21,4,5,0,0
46748,42,4,3,0,0
46749,13,2,2,0,0
46750,55,10,15,5,3
