count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
22500,60,3,11,0,0
22501,16,2,5,0,0
22502,23,1,4,0,1
22503,13,3,4,0,1
22504,35,2,3,0,0
22505,11,3,2,0,0
22506,52,2,3,0,0
22507,34,6,4,0,1
22508,21,1,4,0,0
22509,30,5,14,0,0
22510,121,6,8,2,0
22511,26,2,4,0,0
22512,9,1,2,0,0
22513,27,3,8,0,0
22514,9,1,2,0,0
22515,38,3,10,1,0
22516,21,4,7,1,0
22517,34,2,8,2,0
22518,35,2,10,0,0
22519,62,2,19,0,1
22520,18,4,4,0,0
22521,36,2,9,0,0
22522,17,2,6,0,1
22523,11,1,3,1,0
22524,48,5,9,2,0
22525,52,13,28,0,1
22526,24,5,2,0,0
22527,22,1,2,0,0
22528,15,2,11,0,0
22529,14,1,2,0,0
22530,12,1,3,0,0
22531,14,1,6,1,0
22532,38,1,3,0,0
22533,29,6,2,0,1
22534,24,4,15,0,0
22535,45,4,9,0,0
22536,64,6,32,2,0
22537,27,1,3,0,0
22538,14,5,2,0,1
22539,21,4,2,0,0
22540,24,6,2,1,0
22541,24,1,5,0,0
22542,59,6,3,2,0
22543,39,1,3,0,0
22544,13,2,2,0,0
22545,12,1,2,0,0
22546,72,1,4,0,0
22547,69,5,11,2,0
22548,37,8,5,0,0
22549,21,1,5,0,0
22550,15,1,2,0,0
22551,78,7,16,2,0
22552,49,5,11,0,0
22553,58,4,13,2,1
22554,83,11,9,1,1
22555,42,2,3,1,0
22556,38,2,6,1,1
22557,77,3,7,1,1
22558,75,4,16,1,0
22559,73,5,7,3,3
22560,29,2,14,1,1
22561,4,3,1,0,1
22562,36,3,2,0,0
22563,52,1,13,1,0
22564,36,8,12,3,0
22565,48,3,20,2,5
22566,43,1,5,1,2
22567,13,4,5,0,0
22568,19,4,6,3,4
22569,40,1,10,0,1
22570,55,3,14,2,4
22571,29,1,2,0,0
22572,44,1,2,0,0
22573,28,6,2,1,1
22574,30,1,6,0,0
22575,118,15,5,4,4
22576,19,5,7,1,0
22577,17,4,3,1,0
22578,44,2,9,0,1
22579,49,1,7,0,0
22580,27,3,3,1,1
22581,56,3,7,3,1
22582,59,7,11,4,1
22583,22,1,3,0,0
22584,9,1,2,0,0
22585,12,1,3,0,0
22586,70,1,3,0,0
22587,9,1,2,0,0
22588,39,3,11,2,1
22589,15,1,4,1,0
22590,15,1,2,0,0
22591,28,7,4,1,1
22592,32,3,3,0,0
22593,58,2,15,1,1
22594,15,1,4,1,0
22595,83,11,17,3,0
22596,60,6,12,2,0
22597,63,3,19,0,0
22598,45,3,18,2,1
22599,25,1,5,0,0
22600,25,2,11,1,0
22601,26,1,4,0,0
22602,43,3,21,3,0
22603,11,1,3,0,0
22604,45,4,10,1,0
22605,44,1,2,0,0
22606,47,6,6,1,1
22607,58,9,9,2,0
22608,26,1,3,0,0
22609,46,4,3,1,1
22610,45,1,3,0,0
22611,45,2,5,1,1
22612,35,2,6,1,0
22613,12,1,2,0,0
22614,16,2,2,0,0
22615,23,1,3,0,0
22616,42,1,11,3,0
22617,37,3,8,0,0
22618,21,1,5,0,0
22619,44,9,11,0,1
22620,37,1,5,0,0
22621,13,5,4,1,0
22622,65,5,11,1,0
22623,38,2,9,0,1
22624,66,4,13,1,0
22625,21,1,5,0,0
22626,11,3,3,0,0
22627,50,3,11,1,0
22628,90,2,9,1,0
22629,11,2,3,0,0
22630,12,1,2,0,0
22631,40,5,10,1,0
22632,14,3,6,0,0
22633,36,1,2,0,0
22634,48,3,17,2,0
22635,37,2,11,0,0
22636,34,2,7,0,0
22637,21,5,5,0,0
22638,12,1,4,0,0
22639,25,5,2,0,0
22640,59,1,10,0,0
22641,41,3,6,1,0
22642,47,1,5,0,1
22643,24,4,7,1,0
22644,57,3,6,1,1
22645,35,2,14,0,0
22646,44,1,7,0,0
22647,40,1,2,0,1
22648,55,3,3,0,0
22649,37,1,6,0,0
22650,17,3,2,0,0
22651,43,2,15,1,0
22652,78,2,6,0,0
22653,60,1,4,0,0
22654,26,2,5,0,1
22655,83,1,9,0,0
22656,17,3,8,0,0
22657,137,1,2,0,1
22658,15,1,5,0,0
22659,24,6,3,1,1
22660,16,3,7,1,0
22661,41,2,6,0,0
22662,22,3,6,1,0
22663,64,1,5,0,0
22664,9,1,4,0,0
22665,42,2,3,1,0
22666,56,8,3,0,1
22667,20,9,9,1,0
22668,24,2,4,0,0
22669,16,1,2,0,0
22670,29,7,8,2,0
22671,52,1,9,0,0
22672,12,1,2,0,0
22673,25,2,5,1,0
22674,79,1,6,0,0
22675,67,8,8,0,0
22676,13,1,8,0,0
22677,43,1,5,0,0
22678,42,1,2,0,0
22679,10,2,4,0,1
22680,38,2,21,1,0
22681,26,15,6,0,0
22682,22,1,2,0,0
22683,9,1,3,1,0
22684,37,7,5,2,0
22685,79,1,5,0,0
22686,15,1,3,0,0
22687,26,1,5,1,0
22688,28,4,7,0,0
22689,97,5,10,0,0
22690,101,4,4,2,2
22691,38,1,5,2,0
22692,21,1,7,1,0
22693,30,7,7,0,0
22694,14,3,2,0,0
22695,35,1,3,0,0
22696,10,2,2,0,0
22697,31,1,7,0,1
22698,16,2,3,0,0
22699,38,11,10,1,0
22700,15,1,5,0,0
22701,94,5,12,2,1
22702,39,1,10,0,0
22703,16,4,3,1,1
22704,49,2,7,0,0
22705,83,2,3,1,0
22706,27,7,8,1,0
22707,20,1,9,0,0
22708,25,3,6,0,0
22709,78,1,15,1,0
22710,23,2,1,0,1
22711,84,4,8,1,0
22712,23,3,2,1,0
22713,53,1,10,0,0
22714,24,7,4,0,0
22715,36,2,17,1,0
22716,10,2,2,0,0
22717,26,3,3,1,0
22718,32,2,5,0,1
22719,24,4,7,0,1
22720,47,4,10,0,0
22721,16,1,2,0,0
22722,28,2,3,0,0
22723,15,1,2,0,0
22724,31,2,5,1,0
22725,77,2,15,0,0
22726,65,1,5,1,0
22727,25,2,7,1,0
22728,78,1,7,0,0
22729,28,1,3,0,0
22730,30,1,2,0,0
22731,51,10,5,2,1
22732,55,6,22,3,0
22733,24,1,11,0,0
22734,43,2,7,0,0
22735,87,7,4,0,0
22736,32,14,11,0,1
22737,15,1,3,0,0
22738,35,1,5,0,0
22739,73,1,2,1,0
22740,52,1,13,1,0
22741,9,1,2,0,0
22742,24,5,7,2,0
22743,45,4,8,4,0
22744,57,11,12,2,0
22745,47,6,7,1,1
22746,21,1,2,0,0
22747,39,2,5,1,0
22748,24,2,2,0,1
22749,74,1,7,1,1
22750,43,2,2,0,1
22751,15,3,5,0,1
22752,38,4,4,2,0
22753,18,7,3,0,0
22754,24,1,4,0,1
22755,8,2,0,0,1
22756,41,2,10,0,1
22757,35,2,10,0,0
22758,30,6,3,0,1
22759,32,1,2,0,0
22760,18,1,2,0,0
22761,33,1,6,0,0
22762,39,4,9,2,0
22763,62,3,12,1,1
22764,17,5,5,2,0
22765,21,1,3,1,1
22766,4,1,1,0,3
22767,11,3,3,1,0
22768,51,2,2,0,1
22769,63,2,7,1,0
22770,60,10,12,5,8
22771,49,2,4,2,1
22772,36,3,13,1,2
22773,79,7,23,1,0
22774,20,2,7,1,1
22775,104,8,8,2,1
22776,40,5,19,4,0
22777,81,2,11,1,2
22778,29,2,5,0,1
22779,55,8,11,2,3
22780,69,6,8,0,0
22781,56,3,21,3,1
22782,113,7,5,4,1
22783,57,5,13,3,2
22784,12,4,2,0,0
22785,25,1,5,2,1
22786,19,2,4,1,0
22787,39,1,4,0,0
22788,18,2,5,2,2
22789,17,2,1,0,1
22790,51,1,2,1,1
22791,12,4,3,0,0
22792,39,1,7,1,1
22793,24,2,3,1,3
22794,35,3,1,1,1
22795,35,3,5,0,0
22796,12,3,1,0,1
22797,26,2,10,2,1
22798,59,9,11,2,2
22799,61,3,10,1,0
22800,98,1,2,1,0
22801,25,6,4,1,1
22802,68,7,4,1,0
22803,29,2,14,0,0
22804,26,1,8,0,0
22805,28,2,9,1,1
22806,29,3,5,1,1
22807,32,1,2,1,0
22808,47,3,12,0,2
22809,12,1,2,0,0
22810,30,2,5,1,0
22811,32,1,2,1,0
22812,32,2,4,1,0
22813,55,4,7,0,2
22814,34,1,2,1,1
22815,13,1,3,1,1
22816,40,1,3,2,0
22817,86,6,30,2,1
22818,14,2,3,0,1
22819,58,2,7,2,0
22820,30,2,3,0,0
22821,50,5,12,2,0
22822,79,5,2,1,0
22823,35,5,3,1,1
22824,71,8,4,3,1
22825,30,2,6,0,0
22826,26,1,5,0,0
22827,22,1,11,0,0
22828,44,1,4,0,0
22829,38,2,25,2,0
22830,19,2,8,0,0
22831,17,2,5,0,0
22832,88,6,16,1,1
22833,69,1,10,0,0
22834,43,2,2,1,0
22835,9,1,3,0,0
22836,13,2,6,1,0
22837,26,6,5,1,1
22838,20,2,2,0,0
22839,56,1,4,0,0
22840,64,1,3,0,1
22841,53,13,11,2,2
22842,9,1,5,0,0
22843,76,2,6,1,0
22844,93,14,16,5,7
22845,58,2,12,1,1
22846,30,2,3,2,1
22847,37,3,6,3,1
22848,77,8,7,0,4
22849,29,4,2,0,0
22850,46,3,6,0,0
22851,12,1,2,0,0
22852,17,1,7,0,0
22853,52,9,10,0,0
22854,23,1,11,1,0
22855,32,2,13,1,0
22856,55,13,11,0,0
22857,78,5,5,2,1
22858,34,2,3,0,0
22859,25,2,4,3,2
22860,33,1,2,0,0
22861,86,6,30,5,0
22862,23,1,7,0,0
22863,22,2,5,0,0
22864,33,1,5,1,0
22865,52,1,5,0,1
22866,16,4,2,0,1
22867,26,2,2,0,0
22868,26,4,2,3,2
22869,15,1,3,0,0
22870,40,4,10,0,0
22871,71,2,12,0,0
22872,40,1,3,0,1
22873,34,2,8,0,0
22874,20,12,5,3,2
22875,47,1,14,3,0
22876,34,1,3,0,0
22877,28,3,10,1,4
22878,62,1,4,1,0
22879,25,1,2,0,0
22880,39,4,2,0,0
22881,9,1,3,0,0
22882,15,1,7,1,0
22883,29,1,3,0,0
22884,33,3,4,1,1
22885,59,1,3,0,0
22886,10,1,3,0,1
22887,23,5,9,1,0
22888,34,1,3,0,0
22889,32,1,12,0,1
22890,9,4,4,0,0
22891,16,2,5,0,1
22892,98,4,5,1,1
22893,39,6,10,1,0
22894,35,4,4,0,1
22895,17,3,3,0,0
22896,48,2,8,1,2
22897,40,1,3,0,0
22898,40,1,4,0,0
22899,38,3,13,1,2
22900,60,2,10,0,1
22901,17,2,5,1,1
22902,21,2,6,1,2
22903,28,3,8,1,0
22904,23,3,4,1,2
22905,37,1,4,0,0
22906,35,1,2,0,0
22907,7,1,3,1,1
22908,14,3,8,0,0
22909,59,4,2,0,1
22910,39,9,20,3,0
22911,73,4,13,1,0
22912,48,5,20,1,0
22913,9,1,2,0,0
22914,15,2,1,0,1
22915,58,4,7,2,0
22916,39,4,4,0,1
22917,39,3,14,2,0
22918,37,2,18,2,1
22919,53,3,17,1,1
22920,12,4,2,0,0
22921,29,3,8,0,0
22922,16,1,2,0,1
22923,18,1,3,0,0
22924,56,1,6,0,1
22925,34,2,5,1,0
22926,36,2,5,0,0
22927,31,3,7,0,0
22928,54,1,2,1,0
22929,37,4,2,0,0
22930,39,1,9,0,0
22931,54,9,5,0,2
22932,47,1,2,1,0
22933,45,6,15,2,0
22934,20,2,4,0,0
22935,89,4,8,0,1
22936,81,3,9,1,0
22937,60,4,19,2,0
22938,15,1,2,0,0
22939,26,5,9,1,1
22940,21,1,8,0,0
22941,51,7,24,5,2
22942,16,2,4,0,0
22943,37,2,4,0,0
22944,22,2,2,0,0
22945,10,2,3,0,0
22946,33,2,5,1,1
22947,49,3,4,0,0
22948,19,3,4,1,0
22949,22,4,5,0,1
22950,28,5,3,0,0
22951,41,1,6,1,0
22952,26,1,8,0,0
22953,50,1,3,1,0
22954,59,1,2,1,0
22955,55,6,20,2,0
22956,48,4,16,2,0
22957,26,1,6,1,0
22958,18,4,7,0,0
22959,28,2,4,0,0
22960,49,1,7,1,0
22961,24,4,3,2,1
22962,25,1,3,0,0
22963,48,1,11,0,1
22964,48,3,6,2,0
22965,23,1,2,0,0
22966,28,4,3,0,1
22967,15,4,4,0,0
22968,9,1,4,0,0
22969,12,1,2,0,0
22970,60,1,7,1,0
22971,24,1,2,0,0
22972,44,5,15,2,0
22973,9,1,4,0,0
22974,56,3,5,1,1
22975,36,3,10,1,2
22976,31,2,2,0,1
22977,32,2,8,0,1
22978,24,2,4,0,1
22979,50,1,4,0,1
22980,110,1,9,0,0
22981,28,4,9,0,0
22982,9,1,2,0,0
22983,88,1,5,1,0
22984,16,2,2,0,0
22985,46,3,2,0,0
22986,12,1,2,0,0
22987,65,1,5,1,0
22988,32,2,3,0,0
22989,59,3,8,0,1
22990,16,6,2,0,1
22991,23,2,14,1,0
22992,8,1,2,0,0
22993,61,2,14,2,0
22994,11,3,2,0,0
22995,30,1,12,1,0
22996,53,1,11,1,0
22997,16,5,2,0,0
22998,22,1,2,0,0
22999,24,1,3,0,0
