win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
51.637942376,0.00865932597418,0.984375,54,12,189,0,0
51.6443041305,0.0161404546765,0.984375,54,9,299,0,0
51.6506642115,0.00184707668472,1.0,54,14,230,0,0
51.6570226197,0.0542132311116,0.9375,54,10,112,0,0
51.6633793557,0.00277281565082,1.0,54,14,248,0,0
51.6697344202,0.00240674938003,1.0,54,13,409,0,0
51.6629420271,0.0128164313689,0.96875,51,14,694,8,1
51.6561514196,0.0526282001547,0.921875,40,8,139,5,0
51.6625049284,0.0162411746166,0.984375,54,16,262,0,0
51.6688567674,0.0023485232363,1.0,54,13,268,0,0
51.6752069373,0.00518143464567,0.984375,54,10,294,0,0
51.6815554388,0.011833158281,1.0,54,11,94,0,0
51.6747668462,0.0172158076462,0.984375,53,13,345,7,1
51.6679800368,0.0414649857696,0.953125,50,9,100,7,0
51.6611950098,0.0146020741843,0.984375,52,15,160,9,0
51.6675420168,0.0050475605861,0.984375,54,14,683,0,0
51.6607588289,0.0169899335692,0.984375,50,13,273,7,0
51.6539774219,0.0236635727603,0.96875,48,9,422,8,0
51.660322877,0.00168594595861,1.0,54,19,479,0,0
51.6535433071,0.0903242704531,0.890625,25,3,32,0,1
51.6598871539,0.00670164585375,0.984375,54,16,219,0,0
51.6662293361,0.00247709894399,1.0,54,18,313,0,0
51.6725698544,0.0015309871621,1.0,54,21,241,0,0
51.6789087093,0.00285892319139,1.0,54,13,151,0,0
51.6852459016,0.00381318835731,1.0,54,16,498,0,0
51.6915814319,0.00218927629168,1.0,54,22,358,0,0
51.6979153009,0.00168093333294,1.0,54,12,133,0,0
51.7042475092,0.0113606636794,0.984375,54,10,492,0,0
51.7105780574,0.000470673729347,1.0,54,15,213,0,0
51.7169069463,0.00849682145213,0.984375,54,23,420,0,0
51.710129734,0.0261916326661,0.96875,54,10,195,8,1
51.7033542977,0.0311874860291,0.953125,50,12,212,7,0
51.6965806367,0.0334981100218,0.953125,43,9,225,6,0
51.6898087503,0.0158178669274,0.984375,53,14,435,8,0
51.6961362148,0.0114403602558,1.0,54,12,158,0,0
51.702462022,0.014328021721,0.984375,54,13,200,0,0
51.7087861726,0.00180843712506,1.0,54,15,211,0,0
51.7151086672,9.77209861624e-05,1.0,54,22,548,0,0
51.7214295065,0.00662985682678,0.984375,54,19,407,0,0
51.7146596859,0.0318416186871,0.96875,49,15,294,7,1
51.7078916372,0.0439155726059,0.9375,41,11,123,3,0
51.7011253599,0.0881609390283,0.859375,37,11,114,1,0
51.6943608531,0.00120235062611,1.0,53,13,8034,8,0
51.6875981162,0.121364187792,0.859375,9,4,46,0,0
51.6808371485,0.0410871172641,0.96875,46,13,202,5,1
51.6871566832,0.0123749921257,1.0,54,15,235,0,0
51.6803975415,0.0278320677709,0.953125,52,8,255,8,0
51.6736401674,0.0130691865252,0.96875,53,16,411,9,0
51.6799581645,0.00196192184085,1.0,54,14,590,0,0
51.6862745098,0.0109757531486,0.984375,54,19,273,0,0
51.6795190171,0.0667226262112,0.90625,47,16,130,3,0
51.6727652901,0.040102630274,0.96875,40,11,161,6,0
51.6660133281,0.060213875001,0.921875,39,11,90,3,0
51.6592631304,0.0334471349101,0.953125,49,12,245,6,0
51.6525146963,0.0549067148507,0.9375,39,5,106,4,0
51.6588296761,0.0113572818858,0.984375,54,19,213,0,0
51.6651430064,0.00354904261548,1.0,54,12,213,0,0
51.6714546879,0.00042240873457,1.0,54,14,293,0,0
51.6647081864,0.0188185336552,0.984375,51,17,406,7,0
51.6710182768,0.00139563336429,1.0,54,10,197,0,0
51.6773267197,0.0101879264888,1.0,54,16,294,0,0
51.6705820934,0.0657253091513,0.921875,38,2,36,1,0
51.6768889469,0.00362165752392,1.0,54,17,393,0,0
51.6831941545,0.000169462134444,1.0,54,11,588,0,0
51.6894977169,0.00295693040885,1.0,54,20,471,0,0
51.6957996348,0.000670794900503,1.0,54,20,226,0,0
51.6890569975,0.0395885863281,0.953125,47,6,306,6,1
51.6953573292,0.00746147927309,1.0,54,16,440,0,0
51.7016560177,0.0254713465191,0.96875,54,18,226,0,0
51.6949152542,0.0281550326867,0.953125,49,21,396,6,0
51.7012123582,0.00109413716222,1.0,54,8,209,0,0
51.6944734098,0.0578575797634,0.921875,40,7,89,2,0
51.6877362179,0.0226606524136,0.96875,48,19,284,7,0
51.6810007819,0.0427123376316,0.921875,44,6,182,6,1
51.6872964169,0.00564305892763,1.0,54,14,165,0,0
51.6935904117,0.00260711241203,1.0,54,10,176,0,0
51.6998827667,0.0124550531511,0.984375,54,18,218,0,0
51.6931492576,0.100488952375,0.890625,29,2,36,1,0
51.6994400313,0.00254510660312,1.0,54,8,158,0,0
51.7057291667,0.00166907045974,1.0,54,18,393,0,0
51.6989975264,0.0323845680008,0.953125,46,15,231,6,0
51.705285082,0.00462541051202,1.0,54,11,175,0,0
51.7115710009,0.00752653288909,0.984375,54,11,408,0,0
51.7178552837,0.0121155582567,0.984375,54,12,252,0,0
51.724137931,0.0114222111553,0.984375,54,12,373,0,0
51.7174082748,0.028589997584,0.96875,48,14,467,8,0
51.7236893456,0.00568295288583,1.0,54,9,166,0,0
51.7169614984,0.064516130569,0.9375,37,4,93,4,0
51.7102354012,0.118948716857,0.859375,15,6,65,1,1
51.7165149545,0.0111545272255,0.984375,54,30,396,0,0
51.7097906644,0.0155781240407,0.96875,52,19,596,8,0
51.7030681227,0.0454303010983,0.953125,43,7,87,1,0
51.7093461588,0.00352005510689,1.0,54,16,364,0,0
51.7026254224,0.0776717982478,0.890625,40,10,80,1,0
51.7089018843,0.00511137123822,0.984375,54,13,358,0,0
51.7151767152,0.000573545836077,1.0,54,23,716,0,0
51.7084578407,0.0513316818983,0.921875,44,15,175,4,0
51.714731099,0.00788919879639,0.984375,54,24,439,0,0
51.7080140278,0.0747632828688,0.921875,38,5,81,3,0
51.7142857143,0.00539524682622,1.0,54,13,682,0,0
51.7075704454,0.0528373588368,0.9375,42,12,381,5,0
51.7008569203,0.122813838518,0.859375,27,4,114,3,1
51.7071270933,0.00262297880971,1.0,54,12,325,0,0
