win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
46.5383654086,0.0111979071576,0.984375,54,9,346,0,0
46.5517241379,0.00391151091039,1.0,54,13,370,0,0
46.5650761929,0.00811062582784,0.984375,54,16,358,0,0
46.5534465534,0.0221240339521,0.96875,53,11,358,6,1
46.5418227216,0.0225375867975,0.9375,52,6,345,9,1
46.5551672491,0.00722519416923,0.984375,54,17,258,0,0
46.5435487896,0.045697074308,0.953125,39,11,92,6,0
46.5319361277,0.0258424368238,0.96875,50,12,206,6,0
46.5203292592,0.0831424927927,0.90625,33,3,114,3,0
46.5087281796,0.059111251052,0.90625,43,11,209,5,1
46.4971328846,0.0733187814008,0.890625,22,4,283,5,0
46.5104685942,0.00112341838742,1.0,54,19,454,0,0
46.4988786444,0.0502678024903,0.953125,32,6,99,3,0
46.5122072745,0.00088811203315,1.0,54,20,206,0,0
46.500622665,0.0422354079051,0.9375,43,8,85,5,0
46.4890438247,0.0247640677555,0.96875,52,8,205,7,1
46.4774707493,0.0170665556603,0.984375,52,10,254,8,0
46.4659034345,0.0650873194229,0.90625,45,7,145,3,0
46.4792236875,0.00557571583051,1.0,54,12,239,0,0
46.4676616915,0.0726873359027,0.90625,37,6,109,2,0
46.4561054464,0.0507440100826,0.953125,40,8,97,5,0
46.4694181999,0.00543599151913,1.0,54,9,160,0,0
46.4827243351,0.0201976584012,0.96875,54,11,174,0,0
46.4960238569,0.00403881570602,1.0,54,10,683,0,0
46.4844720497,0.0599428598499,0.9375,34,7,132,5,0
46.4729259811,0.0572836592401,0.921875,47,9,306,6,0
46.4613856469,0.0444159668008,0.921875,49,9,213,7,1
46.4746772592,0.00393639517291,1.0,54,8,358,0,0
46.4879622735,0.00200198987408,1.0,54,10,133,0,0
46.476426799,0.0320773715812,0.96875,51,11,500,7,1
46.4897047879,0.00412536558785,1.0,54,14,333,0,0
46.5029761905,0.00817676184,0.984375,54,11,290,0,0
46.5162410117,0.001154579491,1.0,54,13,207,0,0
46.5047099653,0.0157459992866,0.984375,54,15,366,8,1
