win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
52.8274636152,0.00439887808368,1.0,54,13,531,0,0
52.8215952011,0.0373997652222,0.96875,42,12,200,5,0
52.8157280906,0.0311578125698,0.953125,50,8,186,7,0
52.8209684585,0.000735968170482,1.0,54,18,175,0,0
52.8262076624,0.00165936835499,1.0,54,14,318,0,0
52.8314457029,0.00246339794289,1.0,54,14,389,0,0
52.8255801044,0.0532105534279,0.9375,39,16,263,5,1
52.8197158082,0.0321845572873,0.9375,51,9,664,8,1
52.824952825,0.014629759482,0.984375,54,8,160,0,0
52.8301886792,0.00416421213254,1.0,54,11,223,0,0
52.824325824,0.035470902617,0.953125,50,14,170,8,0
52.8184642699,0.0805016304549,0.90625,28,2,35,0,0
52.8236991013,0.00126384065125,1.0,54,19,231,0,0
52.8178389172,0.0414143361704,0.953125,48,26,234,7,0
52.8119800333,0.0842031312572,0.90625,21,4,32,1,0
52.806122449,0.0181492715228,0.984375,54,12,324,7,1
52.8002661639,0.000216080814315,1.0,53,8,8277,6,0
52.8055001109,0.00857154816582,1.0,54,11,270,0,0
52.8107328972,0.00612059549453,1.0,54,9,420,0,0
52.8159645233,0.00352463860887,1.0,54,15,247,0,0
52.8101097439,0.0188332379299,0.984375,51,10,85,5,1
52.8153402793,0.0170494253197,0.96875,54,13,306,0,0
52.8205696553,0.00508496934576,1.0,54,12,299,0,0
52.8257978723,0.000455094296049,1.0,54,15,253,0,0
52.8310249307,0.000581698733103,1.0,54,15,483,0,0
52.8362508309,0.0152191814887,0.984375,54,8,169,0,0
52.8303976958,0.0314021446196,0.96875,48,8,189,7,0
52.8356225078,0.00442285271408,1.0,54,21,295,0,0
52.8297707387,0.025879711344,0.96875,54,15,753,7,1
52.8349944629,0.0151897045445,0.984375,54,22,284,0,0
52.8402170302,0.000880143607172,1.0,54,17,236,0,0
52.8343666962,0.019474018711,0.96875,51,21,636,8,0
52.8285176575,0.0903743324241,0.890625,41,3,20,1,0
52.8337392074,0.0131787153021,0.984375,54,18,375,0,0
52.8389596015,0.00509341808662,1.0,54,14,344,0,0
52.8331119965,0.0263520851055,0.984375,47,15,126,5,0
52.8272656855,0.0109088998299,0.984375,52,11,4893,8,0
52.8214206683,0.0292244507771,0.96875,52,8,167,7,0
52.8155769444,0.0240834205052,0.96875,48,19,226,8,1
52.8097345133,0.0973613522103,0.90625,12,3,32,0,0
52.814954098,0.0111787616665,0.96875,54,14,253,0,0
52.8201725282,0.00462459207909,1.0,54,14,191,0,0
52.8253898043,0.0122703831784,0.984375,54,14,286,0,0
52.8195488722,0.0214447468801,0.984375,48,8,190,6,0
52.8247650636,0.012605212314,1.0,54,21,189,0,0
52.8299801017,0.00166534728665,1.0,54,20,312,0,0
52.8241405991,0.0337795735706,0.96875,49,19,268,6,0
52.8293545535,0.0070303092342,1.0,54,18,530,0,0
52.8345673555,0.00265364209742,1.0,54,13,404,0,0
52.8397790055,0.00173980638749,1.0,54,19,226,0,0
52.833941001,0.0813913624895,0.90625,31,4,49,3,0
52.8391515687,0.00112876185186,1.0,54,23,226,0,0
52.8443609853,0.0031722654891,1.0,54,11,201,0,0
52.8385244091,0.0342382192271,0.96875,42,9,171,7,0
52.8437327443,0.00843244590915,0.984375,54,10,154,0,0
52.8489399293,0.0138885182045,0.984375,54,23,229,0,0
52.8431047808,0.0347296640987,0.9375,42,15,254,8,0
52.8483108854,0.00525808955998,0.984375,54,12,267,0,0
52.8535158406,0.0082055622811,0.984375,54,9,155,0,0
52.8587196468,0.00981916425899,0.984375,54,10,268,0,0
52.8528859949,0.0161370689873,0.984375,53,9,531,7,1
52.8580887221,0.00794235507956,0.984375,54,18,332,0,0
52.8632903012,0.00241841970982,1.0,54,16,352,0,0
52.8574580759,0.0314190837232,0.953125,47,16,244,6,0
52.8516271373,0.0530795227449,0.921875,49,10,177,4,0
52.8568277079,0.000563392244338,1.0,54,10,311,0,0
52.8509981251,0.0521959305915,0.9375,42,12,89,3,0
52.856197618,0.00733961294058,0.984375,54,14,235,0,0
52.8613959643,0.00428630426791,1.0,54,11,632,0,0
52.855567806,0.0210507774798,0.96875,54,13,318,9,1
52.8607650755,0.00581091575162,1.0,54,13,163,0,0
52.8549382716,0.0516834423387,0.9375,50,12,200,5,0
52.8491127521,0.0246099682356,0.96875,51,12,723,9,0
52.8543090148,0.00414575229722,1.0,54,12,240,0,0
52.8595041322,0.00808872251248,0.984375,54,19,294,0,0
52.8536800353,0.00373439230476,1.0,54,18,805,9,1
52.8478572215,0.0132679256992,0.96875,51,14,372,9,0
52.8530513329,0.00870264591463,1.0,54,10,130,0,0
52.8582443,0.00997109292369,0.984375,54,12,288,0,0
52.8634361233,0.012354974746,0.984375,54,19,250,0,0
52.8576148001,0.110788582342,0.875,9,4,106,3,0
52.8628055494,0.00573611522486,0.984375,54,23,348,0,0
52.8569855775,0.0354012862704,0.953125,44,9,162,6,0
52.8621752532,0.0105878949374,0.984375,54,10,407,0,0
52.8563566318,0.125331682102,0.765625,30,14,238,2,0
52.8615452344,0.00304773132993,1.0,54,14,314,0,0
52.8667326951,0.00943983860511,1.0,54,12,305,0,0
52.8719190141,0.0159125090035,0.984375,54,9,428,0,0
52.8661018814,0.0355973045157,0.953125,50,11,227,7,0
52.8712871287,0.00213010720014,1.0,54,12,270,0,0
52.8654713453,0.0393678996776,0.9375,48,8,241,6,0
52.8596568412,0.0305510947798,0.953125,54,13,192,6,1
52.853843616,0.017713750028,0.984375,54,5,282,7,1
52.8480316692,0.014565982286,0.984375,54,12,272,9,1
52.8422210005,0.0201135072926,0.96875,50,16,328,8,0
52.8364116095,0.0360997067984,0.921875,52,14,286,6,0
52.8306034957,0.0234903485512,0.953125,52,8,136,6,0
52.8357880853,0.00589610832887,1.0,54,13,111,0,0
52.8409715353,0.000633010441589,1.0,54,16,308,0,0
52.8351648352,0.0521344276493,0.921875,45,9,100,2,0
52.8403472146,0.00501120508722,1.0,54,18,270,0,0
52.8345418589,0.0253925899012,0.96875,48,13,98,5,0
52.8397231682,0.029019025,0.953125,54,17,206,0,0
52.8449033392,0.00971645200662,0.984375,54,13,346,0,0
52.8500823723,0.000632034303922,1.0,54,26,360,0,0
52.8442784977,0.0198872130678,0.96875,52,11,208,8,0
52.8494564621,0.00692778028814,0.984375,54,12,293,0,0
52.8546332894,0.00775009747023,0.984375,54,15,172,0,0
52.8488308267,0.063241904101,0.921875,40,6,148,4,0
52.8430296378,0.0371630551342,0.953125,51,8,242,6,0
52.8372297223,0.0749745022245,0.859375,39,8,345,5,0
52.842405619,0.00309351440144,1.0,54,12,461,0,0
52.8366070449,0.0735832344797,0.921875,26,6,167,3,1
52.841781874,0.00740068267426,1.0,54,15,163,0,0
52.8359846407,0.0424868818157,0.921875,45,8,182,4,0
52.8301886792,0.0641008148497,0.921875,43,5,62,3,1
52.8353625096,0.01286024625,0.984375,54,16,239,0,0
52.8295678877,0.0590232567309,0.9375,36,7,58,3,0
52.8237745367,0.029031548869,0.96875,48,14,102,6,1
52.8289473684,0.00336041931642,1.0,54,18,213,0,0
52.8341190659,0.00050608072378,1.0,54,20,337,0,0
52.8392896295,0.00116857240874,1.0,54,17,359,0,0
52.8334977529,0.0168999108679,0.96875,54,13,239,8,1
52.827707146,0.0397598419339,0.953125,50,13,114,3,1
52.8328767123,0.000773788364572,1.0,54,15,542,0,0
52.8380451457,0.000416396517845,1.0,54,19,279,0,0
52.8432124466,0.0110281816511,0.984375,54,10,158,0,0
52.8483786152,0.00688579692926,0.984375,54,17,385,0,0
52.8425895498,0.0400545990238,0.9375,41,19,239,6,0
52.847754655,0.0012537927359,1.0,54,18,461,0,0
52.8419669259,0.041791215735,0.9375,46,3,300,5,0
52.8361804643,0.0816593589071,0.90625,32,15,108,3,0
52.8413445746,0.00803366117856,1.0,54,17,190,0,0
52.8465075542,0.00609131528928,1.0,54,14,723,0,0
52.8516694034,0.000706398684417,1.0,54,16,241,0,0
52.8568301226,0.00960451806817,0.984375,54,13,455,0,0
52.8510452008,0.064618705007,0.9375,25,5,30,2,1
52.8452615452,0.0398325008459,0.953125,49,14,295,6,1
52.8504212715,0.0293298859489,0.96875,54,9,101,0,0
52.8446389497,0.0365379547363,0.9375,48,10,320,6,0
52.8497976151,0.0136222798076,0.984375,54,16,330,0,0
52.8440166266,0.0671987703784,0.890625,42,5,108,3,0
52.8491742317,0.000773897088883,1.0,54,16,259,0,0
52.8433945757,0.0507685372421,0.9375,41,6,99,6,0
52.8376161837,0.0681426806692,0.921875,33,5,72,3,0
52.8427727969,0.00670814631537,0.984375,54,14,306,0,0
52.8479282825,0.0196512060501,0.984375,54,11,99,0,0
52.8421512899,0.0437616400674,0.9375,51,8,108,5,0
52.8473057165,0.00967790600723,0.984375,54,14,184,0,0
52.8524590164,0.0274260060194,0.96875,54,13,272,0,0
52.8466834226,0.0201570782166,0.984375,46,10,139,7,1
52.8518356643,0.00717175333285,0.984375,54,7,190,0,0
52.8569867803,0.00999886789044,0.984375,54,18,158,0,0
52.8621367708,0.00190196747801,1.0,54,21,245,0,0
52.8563626434,0.0322822957517,0.96875,49,8,169,6,0
52.8505897772,0.0823920714716,0.921875,26,14,103,2,0
52.8448181719,0.137632154253,0.84375,7,2,15,1,0
52.8499672418,6.22218669028e-05,1.0,54,15,446,0,0
52.8441969647,0.201787038331,0.34375,12,1,165,2,1
52.8493449782,0.00542061814265,0.984375,54,8,293,0,0
52.8435760288,0.0218826392426,0.953125,52,12,314,7,1
52.8487229862,0.00271360194675,1.0,54,11,135,0,0
52.842955364,0.0571420713289,0.921875,37,4,114,4,0
52.8371890004,0.0322731143426,0.96875,51,8,161,6,0
52.84233497,0.000413936015941,1.0,54,14,392,0,0
52.8474798167,0.0124176224905,0.96875,54,12,207,0,0
52.8417148467,0.114122326329,0.890625,17,1,7,0,0
52.8359511344,0.0394551057332,0.953125,42,3,68,4,0
52.8301886792,0.090120098976,0.890625,22,5,230,3,0
52.8244274809,0.000107200054742,1.0,53,13,8186,9,0
52.8295714753,0.000500159952457,1.0,54,18,316,0,0
52.8238116005,0.0315524255401,0.96875,50,10,162,6,0
52.8180529816,0.0505380847566,0.953125,42,9,192,6,1
52.8231959887,0.00102414484064,1.0,54,14,475,0,0
52.8283378747,0.00799910532525,0.984375,54,16,285,0,0
52.8334786399,0.000589861803031,1.0,54,14,427,0,0
52.8386182848,0.00140374017492,1.0,54,18,403,0,0
