win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
50.6396118218,0.0539625705953,0.921875,47,4,138,6,0
50.6321670097,0.0542512187015,0.921875,53,7,149,4,1
50.6247243863,0.0246296425196,0.953125,51,14,386,8,0
50.6319811875,0.00963213739107,0.984375,54,17,553,0,0
50.639235856,0.000294379420655,1.0,54,20,283,0,0
50.6464883926,0.00129429324486,1.0,54,19,912,0,0
50.6537387983,0.00348872745889,1.0,54,14,293,0,0
50.660987074,0.00119030521936,1.0,54,9,353,0,0
50.6535467763,0.0112259087993,0.984375,53,10,939,9,0
50.6461086637,0.040750450167,0.953125,48,12,330,7,1
50.6533548671,0.0012549556285,1.0,54,17,419,0,0
50.660598943,0.00634900023648,1.0,54,11,305,0,0
50.6531630706,0.0483690915084,0.953125,42,5,59,2,1
50.6604050484,0.019708733245,0.984375,54,20,236,0,0
50.667644901,0.000840277339039,1.0,54,15,419,0,0
50.6602112676,0.140372832184,0.65625,29,6,157,0,0
50.6674490245,0.00336109490572,1.0,54,12,644,0,0
50.6746846583,0.00509189199714,1.0,54,18,335,0,0
50.6819181698,0.00113414544315,1.0,54,15,247,0,0
50.6891495601,0.00332134086324,1.0,54,21,178,0,0
50.6817182231,0.0979924184365,0.890625,21,3,33,2,1
50.6742890648,0.0258417420409,0.984375,42,10,170,5,0
50.6815183937,0.0108680498509,0.96875,54,17,385,0,0
50.674091442,0.01783330112,0.984375,53,15,329,9,0
50.6666666667,0.0579046981521,0.921875,39,8,86,4,0
50.673893935,0.00803493061956,0.984375,54,14,348,0,0
50.6664713637,0.0533942485551,0.921875,45,7,136,7,0
50.6736965436,0.00455840752114,1.0,54,14,1644,0,0
50.6809196076,0.0331510846222,0.953125,54,10,206,0,0
50.6734992679,0.0749848977706,0.875,35,12,209,3,1
50.6807202459,0.00525768515323,1.0,54,15,511,0,0
50.6733021077,0.028298973941,0.96875,48,12,97,5,0
50.680521001,0.000665437585696,1.0,54,17,353,0,0
50.6877377817,0.00647191565332,1.0,54,6,239,0,0
50.6949524506,0.000992069583248,1.0,54,17,939,0,0
50.7021650088,0.00749089134527,0.984375,54,15,252,0,0
50.694749159,0.0441445770309,0.953125,47,12,258,6,1
50.7019596373,0.0145188344248,0.984375,54,15,331,0,0
50.709168007,0.00189480953672,1.0,54,13,500,0,0
