win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
41.6174466152,0.0131635002471,0.984375,54,15,264,0,0
41.6439600363,0.0014094239855,1.0,54,14,599,0,0
41.6704493872,0.0148943491721,0.984375,54,13,386,0,0
41.6969147005,0.00352938544691,1.0,54,32,796,0,0
41.7233560091,0.000907896642906,1.0,54,18,207,0,0
41.7497733454,0.00856747049981,0.984375,54,10,115,0,0
41.7308563661,0.00854657468802,0.984375,54,16,638,9,1
41.7119565217,0.0694004053988,0.9375,31,4,88,2,0
41.7383431417,0.00301062866576,1.0,54,9,322,0,0
41.7647058824,0.00332476483883,1.0,54,15,351,0,0
41.7910447761,0.00267170858244,1.0,54,13,416,0,0
41.7721518987,0.0435866908144,0.9375,47,10,337,6,1
41.7532760958,0.0616396129847,0.953125,23,11,96,5,0
41.7344173442,0.0476354935414,0.953125,42,10,125,6,0
41.7155756208,0.0778120052167,0.90625,26,8,54,3,0
41.7418772563,0.0012854050374,1.0,54,15,180,0,0
41.7681551646,0.00592813097324,0.984375,54,12,413,0,0
41.7493237151,0.0264834931659,0.96875,43,7,94,6,1
41.7305092384,0.0183028492334,0.984375,52,16,568,7,0
41.7117117117,0.0212884015321,0.96875,53,8,301,9,0
41.6929311121,0.036617422793,0.921875,50,18,369,8,0
41.6741674167,0.0362300318907,0.96875,48,4,86,5,1
41.6554206028,0.0315080111024,0.953125,49,9,98,4,0
41.6816546763,0.00145357019302,1.0,54,18,384,0,0
41.7078651685,0.00287204571687,1.0,54,15,236,0,0
41.7340521114,0.00746449759289,0.984375,54,17,843,0,0
41.715312079,0.0502853881109,0.921875,44,5,129,5,1
41.7414721724,0.00665947157387,1.0,54,15,235,0,0
41.7227456258,0.0129299877674,0.984375,52,9,323,9,0
41.7488789238,0.00530067583359,1.0,54,18,338,0,0
41.7301658449,0.0785119194037,0.875,41,12,90,0,1
41.7562724014,0.00310925747651,1.0,54,15,467,0,0
41.7375727721,0.0102953627509,0.96875,52,4,8463,7,0
41.7188898836,0.0297161157723,0.96875,52,6,128,7,1
41.7002237136,0.0572098510094,0.90625,43,5,246,5,1
41.7262969589,0.0128385769584,0.984375,54,15,231,0,0
41.7523468932,0.00237233643717,1.0,54,21,225,0,0
41.7336907954,0.0344904026431,0.953125,52,8,195,6,1
41.7150513622,0.0190070024334,0.96875,51,9,351,7,1
41.6964285714,0.0571640138927,0.9375,33,7,81,2,0
41.7224453369,0.00426641412563,1.0,54,18,350,0,0
41.7038358608,0.0395688540154,0.953125,45,13,167,5,0
41.6852429782,0.0424997883106,0.953125,46,16,169,6,0
41.6666666667,0.040539782753,0.96875,37,12,300,6,0
41.6926503341,0.0113357929574,0.984375,54,11,328,0,0
41.7186108638,0.00332578355913,1.0,54,15,327,0,0
41.7000445038,0.124255496511,0.65625,22,6,143,3,0
41.6814946619,0.0627077537606,0.921875,30,11,175,5,1
41.6629613161,0.0282339958394,0.96875,48,13,309,8,1
41.6444444444,0.0329355658748,0.953125,47,17,285,7,1
41.6259440249,0.00998929644791,0.984375,53,8,795,8,0
41.6518650089,0.00503572637592,1.0,54,12,429,0,0
41.6777629827,0.00256452171535,1.0,54,12,251,0,0
41.6592724046,0.0694980510856,0.90625,42,7,247,4,1
41.6407982262,0.0699770773421,0.90625,40,14,139,3,0
41.6666666667,0.00132582677056,1.0,54,11,201,0,0
41.6482055826,0.0507598971305,0.921875,48,20,416,6,0
41.6297608503,0.0258945731134,0.96875,53,22,569,8,1
41.6555998229,0.0138788348804,0.984375,54,21,417,0,0
41.6814159292,0.00321676435351,1.0,54,13,527,0,0
41.7072091995,0.00535092742704,0.984375,54,13,272,0,0
41.732979664,0.000332142415087,1.0,54,22,333,0,0
41.7587273531,0.00370817503249,1.0,54,23,855,0,0
41.7402826855,0.0460192322689,0.9375,48,8,191,6,0
41.7218543046,0.0503967384139,0.96875,35,3,53,3,0
41.7475728155,0.00118392929589,1.0,54,14,256,0,0
41.773268637,0.00984766928314,0.984375,54,9,477,0,0
41.7989417989,0.00372390512445,1.0,54,13,226,0,0
41.8245923314,0.00484853872172,1.0,54,11,222,0,0
41.8061674009,0.0212254817739,0.984375,53,12,225,8,1
41.831792162,0.00109097547391,1.0,54,14,324,0,0
41.8573943662,0.00730426097884,1.0,54,17,611,0,0
41.8389793225,0.142976113304,0.84375,11,1,14,1,1
41.8645558487,0.00278988832359,1.0,54,12,127,0,0
41.8461538462,0.0135761505149,0.984375,54,15,375,9,1
41.8277680141,0.0206348679856,0.984375,51,18,223,8,0
41.8533157664,0.000849878975874,1.0,54,26,664,0,0
41.8349429324,0.0154460798771,0.96875,50,14,352,8,0
41.816586222,0.0742608919434,0.875,51,16,154,4,0
41.8421052632,0.00868255329056,0.984375,54,19,332,0,0
41.867601929,0.00554126957858,1.0,54,15,218,0,0
41.8930762489,0.0135587859678,0.96875,54,18,624,0,0
41.8747262374,0.0455186226402,0.953125,39,10,147,5,0
41.9001751313,0.00258025471255,1.0,54,25,544,0,0
41.8818380744,0.0126866183944,0.984375,54,16,419,8,1
41.8635170604,0.076422298501,0.921875,43,4,109,3,0
41.8452120682,0.0772148566369,0.90625,33,4,70,4,0
41.8706293706,0.000716584257354,1.0,54,20,363,0,0
41.8523372652,0.0367713493636,0.9375,49,15,281,6,1
41.8777292576,0.00119105173624,1.0,54,12,168,0,0
41.9030990834,0.00182881981645,1.0,54,17,323,0,0
41.9284467714,0.00266126255328,1.0,54,9,182,0,0
41.9537723506,0.00671342590703,1.0,54,17,271,0,0
41.97907585,0.00427474166867,1.0,54,17,314,0,0
41.9607843137,0.0153990806217,0.984375,51,9,333,9,0
41.9425087108,0.0702798056634,0.90625,36,9,174,5,0
41.9677840662,0.00277665109416,1.0,54,14,437,0,0
41.9495213229,0.0271528803223,0.96875,53,9,434,7,1
41.9747716398,0.00048542046258,1.0,54,19,394,0,0
42.0,0.0311027809428,0.96875,54,12,193,0,0
42.025206432,0.00895832304908,0.984375,54,13,1094,0,0
42.0503909644,0.00896332438478,0.984375,54,19,604,0,0
42.0321320017,0.106587882472,0.84375,22,3,80,1,0
42.0138888889,0.0648606386261,0.921875,38,11,117,3,0
41.9956616052,0.00777577612014,1.0,54,12,427,8,1
42.0208152645,0.000291205168804,1.0,54,20,502,0,0
42.0026007802,0.0543740788778,0.9375,36,12,129,5,0
41.9844020797,0.0574411951245,0.890625,48,7,372,5,0
41.9662191425,0.0668818048979,0.9375,32,4,15,0,0
41.9480519481,0.055133322334,0.921875,35,1,105,5,0
41.9731717871,0.00344454733279,1.0,54,14,469,0,0
41.9982698962,0.000206972668937,1.0,54,14,202,0,0
41.9801124081,0.0635117278412,0.90625,45,8,127,4,0
41.9619706137,0.0115674607918,0.984375,53,12,716,9,0
41.9438444924,0.0648211198496,0.9375,24,8,85,4,0
41.9257340242,0.0256524190242,0.96875,47,12,299,7,0
41.9076391886,0.0785342298112,0.890625,39,6,167,4,0
41.932700604,0.0103375670575,0.984375,54,10,848,0,0
41.9577404053,0.00050205158279,1.0,54,12,203,0,0
41.9827586207,0.0255357779346,0.9375,54,8,314,0,0
41.9646704007,0.0492095056865,0.96875,38,15,229,6,0
41.9465977606,0.0373483110391,0.9375,51,10,159,7,0
41.9285406802,0.0758973196387,0.921875,21,3,161,2,0
41.9104991394,0.00859981927143,0.984375,54,6,536,9,1
41.8924731183,0.0276233519413,0.984375,45,7,297,7,1
41.9174548581,0.0338514823713,0.953125,54,23,486,0,0
41.9424151268,0.00986464973821,0.984375,54,15,191,0,0
41.9243986254,0.0737880717505,0.90625,40,9,150,3,1
41.9063975955,0.0251787336486,0.96875,52,11,428,9,1
41.8884120172,0.0114966547402,0.984375,50,14,445,9,0
41.9133419133,0.00224829270488,1.0,54,12,303,0,0
41.9382504288,0.00506901714308,1.0,54,17,210,0,0
41.9631375911,0.00471626651865,1.0,54,19,643,0,0
41.9880034276,0.00395704773371,1.0,54,14,276,0,0
42.0128479657,0.0058855589554,1.0,54,6,173,0,0
42.0376712329,0.0205288741206,0.984375,54,12,314,0,0
42.0196833547,0.0661060151865,0.90625,34,11,197,3,0
42.0444824636,0.00812021814834,1.0,54,12,305,0,0
42.0265070543,0.0102805703973,0.984375,53,14,348,8,0
42.0512820513,0.0176448458173,0.96875,54,17,366,0,0
42.0760358821,0.00825980158681,0.984375,54,21,365,0,0
42.1007685739,0.00545013645838,0.984375,54,13,226,0,0
42.1254801536,0.0111201930827,0.984375,54,17,297,0,0
42.1501706485,0.00294531270222,1.0,54,16,166,0,0
42.132196162,0.00688899377467,0.984375,54,13,416,9,1
42.1568627451,0.00306027088705,1.0,54,17,382,0,0
42.1815083085,0.0132045150573,0.96875,54,20,241,0,0
42.206132879,0.00633498977515,1.0,54,17,277,0,0
42.1881651767,0.067111356168,0.921875,35,4,56,2,1
